,TmOFNS,GOFNS,PlaysOFNS,ToGoOFNS,YdsOFNS,1st%OFNS,TO%OFNS,TDOFNS,FGOFNS,nanOFNS,IntOFNS,FmbOFNS,SkOFNS,PassOFNS,RushOFNS,FGOFNS1,PuntOFNS,Week,TmDFNS,GDFNS,PlaysDFNS,ToGoDFNS,YdsDFNS,1st%DFNS,TO%DFNS,TDDFNS,FGDFNS,nanDFNS,IntDFNS,FmbDFNS,SkDFNS,PassDFNS,RushDFNS,FGDFNS1,PuntDFNS,RkALLSCR,TmALLSCR,YearALLSCR,DateALLSCR,TimeALLSCR,LTimeALLSCR,nanALLSCR,OppALLSCR,WeekALLSCR,G#ALLSCR,DayALLSCR,ResultALLSCR,OTALLSCR,TDALLSCR,XPAALLSCR,XPMALLSCR,FGAALLSCR,FGMALLSCR,2PAALLSCR,2PMALLSCR,SftyALLSCR,RkDSTSCR,TmDSTSCR,YearDSTSCR,DateDSTSCR,TimeDSTSCR,LTimeDSTSCR,nanDSTSCR,OppDSTSCR,WeekDSTSCR,G#DSTSCR,DayDSTSCR,ResultDSTSCR,OTDSTSCR,KRDSTSCR,PRDSTSCR,IRDSTSCR,FRDSTSCR,ORDSTSCR,RetTDDSTSCR,PtsFor,PtsAgainst,Opponent
0,ATL,1,91,7.4,5.5,0.297,0.022,3,2,27.0,1,1,2,56,20,2,3,1,ATL,1,73,7.4,5.2,0.288,0.0,5,1,21.0,0,0,3,38,20,1,4,8,ATL,2020,2020-09-13,01:00:00,01:00:00,0,SEA,1,1,Sun,L 25-38,0,3,2,1,2,2,1,0,0,1,ATL,2020,2020-09-13,01:00:00,01:00:00,0,SEA,1,1,Sun,L 25-38,0,0,0,0,0,0,0,25,38,SEA
1,BUF,1,92,7.6,4.4,0.283,0.022,3,2,26.0,0,2,3,49,32,4,1,1,BUF,1,68,7.1,3.7,0.176,0.029,2,1,12.0,1,1,3,38,15,1,6,9,BUF,2020,2020-09-13,01:00:00,01:00:00,0,NYJ,1,1,Sun,W 27-17,0,3,3,3,4,2,0,0,0,2,BUF,2020,2020-09-13,01:00:00,01:00:00,0,NYJ,1,1,Sun,W 27-17,0,0,0,0,0,0,0,27,17,NYJ
2,CAR,1,80,7.1,4.9,0.263,0.0,3,3,21.0,0,0,1,35,30,3,2,1,CAR,1,76,6.7,4.9,0.276,0.0,4,2,21.0,0,0,0,30,31,2,3,10,CAR,2020,2020-09-13,01:00:00,01:00:00,0,LVR,1,1,Sun,L 30-34,0,3,2,1,3,3,1,1,0,3,CAR,2020,2020-09-13,01:00:00,01:00:00,0,LVR,1,1,Sun,L 30-34,0,0,0,0,0,0,0,30,34,LVR
3,CHI,1,81,7.5,4.5,0.284,0.0,3,2,23.0,0,0,1,37,28,2,5,1,CHI,1,88,7.6,4.8,0.239,0.011,2,3,21.0,1,0,1,43,29,4,4,11,CHI,2020,2020-09-13,01:00:00,01:00:00,@,DET,1,1,Sun,W 27-23,0,3,3,3,2,2,0,0,0,4,CHI,2020,2020-09-13,01:00:00,01:00:00,@,DET,1,1,Sun,W 27-23,0,0,0,0,0,0,0,27,23,DET
4,CIN,1,81,8.5,3.6,0.235,0.025,1,2,19.0,1,1,3,39,28,3,6,1,CIN,1,85,7.3,4.3,0.2,0.0,1,3,17.0,0,0,2,32,39,4,5,29,CIN,2020,2020-09-13,04:05:00,04:05:00,0,LAC,1,1,Sun,L 13-16,0,1,1,1,3,2,0,0,0,5,CIN,2020,2020-09-13,04:05:00,04:05:00,0,LAC,1,1,Sun,L 13-16,0,0,0,0,0,0,0,13,16,LAC
5,CLE,1,80,9.0,3.9,0.213,0.038,1,0,17.0,1,2,2,41,26,1,4,1,CLE,1,69,8.3,5.5,0.333,0.014,5,1,23.0,0,1,2,28,30,1,3,30,CLE,2020,2020-09-13,01:00:00,01:00:00,@,BAL,1,1,Sun,L 6-38,0,1,1,0,1,0,0,0,0,6,CLE,2020,2020-09-13,01:00:00,01:00:00,@,BAL,1,1,Sun,L 6-38,0,0,0,0,0,0,0,6,38,BAL
6,IND,1,80,7.4,5.6,0.275,0.025,2,2,22.0,2,0,1,47,22,3,0,1,IND,1,60,8.0,4.0,0.25,0.0,3,2,15.0,0,0,4,24,23,2,3,19,IND,2020,2020-09-13,01:00:00,01:00:00,@,JAX,1,1,Sun,L 20-27,0,2,2,2,3,2,0,0,0,7,IND,2020,2020-09-13,01:00:00,01:00:00,@,JAX,1,1,Sun,L 20-27,0,0,0,0,0,0,0,20,27,JAX
7,ARI,1,93,8.6,4.3,0.28,0.011,3,1,26.0,1,0,2,42,36,3,4,1,ARI,1,74,7.3,4.9,0.23,0.0,2,2,17.0,0,0,3,36,25,2,5,12,ARI,2020,2020-09-13,04:25:00,01:25:00,@,SFO,1,1,Sun,W 24-20,0,3,3,3,3,1,0,0,0,8,ARI,2020,2020-09-13,04:25:00,01:25:00,@,SFO,1,1,Sun,W 24-20,0,0,0,0,0,0,0,24,20,SFO
8,DAL,1,82,7.8,4.6,0.28,0.0,2,1,23.0,0,0,3,42,27,2,4,1,DAL,1,84,6.8,5.0,0.274,0.012,2,2,23.0,1,0,1,32,40,3,3,20,DAL,2020,2020-09-13,08:20:00,05:20:00,@,LAR,1,1,Sun,L 17-20,0,2,2,2,2,1,0,0,0,9,DAL,2020,2020-09-13,08:20:00,05:20:00,@,LAR,1,1,Sun,L 17-20,0,0,0,0,0,0,0,17,20,LAR
9,DEN,1,70,7.1,4.6,0.271,0.014,2,0,19.0,0,1,0,33,26,0,5,1,DEN,1,91,6.9,4.1,0.253,0.0,2,1,23.0,0,0,1,44,34,4,4,21,DEN,2020,2020-09-14,10:10:00,08:10:00,0,TEN,1,1,Mon,L 14-16,0,2,2,2,0,0,0,0,0,10,DEN,2020,2020-09-14,10:10:00,08:10:00,0,TEN,1,1,Mon,L 14-16,0,0,0,0,0,0,0,14,16,TEN
10,DET,1,88,7.6,4.8,0.239,0.011,2,3,21.0,1,0,1,43,29,4,4,1,DET,1,81,7.5,4.5,0.284,0.0,3,2,23.0,0,0,1,37,28,2,5,22,DET,2020,2020-09-13,01:00:00,01:00:00,0,CHI,1,1,Sun,L 23-27,0,2,2,2,4,3,0,0,0,11,DET,2020,2020-09-13,01:00:00,01:00:00,0,CHI,1,1,Sun,L 23-27,0,0,0,0,0,0,0,23,27,CHI
11,GNB,1,90,6.7,5.8,0.311,0.0,5,2,28.0,0,0,0,44,32,2,1,1,GNB,1,64,6.5,6.0,0.359,0.016,4,1,23.0,1,0,2,27,22,1,2,1,GNB,2020,2020-09-13,01:00:00,03:00:00,@,MIN,1,1,Sun,W 43-34,0,5,5,5,2,2,0,0,1,12,GNB,2020,2020-09-13,01:00:00,03:00:00,@,MIN,1,1,Sun,W 43-34,0,0,0,0,0,0,0,41,34,MIN
12,HOU,1,71,7.0,5.1,0.296,0.014,3,0,21.0,1,0,4,36,22,1,3,1,HOU,1,80,6.3,4.6,0.313,0.0,4,2,25.0,0,0,1,33,34,2,3,13,HOU,2020,2020-09-10,08:20:00,07:20:00,@,KAN,1,1,Thu,L 20-34,0,3,2,2,1,0,1,0,0,13,HOU,2020,2020-09-10,08:20:00,07:20:00,@,KAN,1,1,Thu,L 20-34,0,0,0,0,0,0,0,20,34,KAN
13,JAX,1,60,8.0,4.0,0.25,0.0,3,2,15.0,0,0,4,24,23,2,3,1,JAX,1,80,7.4,5.6,0.275,0.025,2,2,22.0,2,0,1,47,22,3,0,14,JAX,2020,2020-09-13,01:00:00,01:00:00,0,IND,1,1,Sun,W 27-20,0,3,3,3,2,2,0,0,0,14,JAX,2020,2020-09-13,01:00:00,01:00:00,0,IND,1,1,Sun,W 27-20,0,0,0,0,0,0,0,27,20,IND
14,KAN,1,80,6.3,4.6,0.313,0.0,4,2,25.0,0,0,1,33,34,2,3,1,KAN,1,71,7.0,5.1,0.296,0.014,3,0,21.0,1,0,4,36,22,1,3,4,KAN,2020,2020-09-10,08:20:00,07:20:00,0,HOU,1,1,Thu,W 34-20,0,4,4,4,2,2,0,0,0,15,KAN,2020,2020-09-10,08:20:00,07:20:00,0,HOU,1,1,Thu,W 34-20,0,0,0,0,0,0,0,34,20,HOU
15,MIA,1,67,7.2,4.0,0.254,0.045,1,1,17.0,3,0,1,31,27,1,3,1,MIA,1,74,7.4,4.8,0.351,0.014,3,0,26.0,0,1,2,21,42,1,4,31,MIA,2020,2020-09-13,01:00:00,01:00:00,@,NWE,1,1,Sun,L 11-21,0,1,0,0,1,1,1,1,0,16,MIA,2020,2020-09-13,01:00:00,01:00:00,@,NWE,1,1,Sun,L 11-21,0,0,0,0,0,0,0,11,21,NWE
16,MIN,1,64,6.5,6.0,0.359,0.016,4,1,23.0,1,0,2,27,22,1,2,1,MIN,1,90,6.7,5.8,0.311,0.0,5,2,28.0,0,0,0,44,32,2,1,5,MIN,2020,2020-09-13,01:00:00,03:00:00,0,GNB,1,1,Sun,L 34-43,0,4,1,1,1,1,3,3,0,17,MIN,2020,2020-09-13,01:00:00,03:00:00,0,GNB,1,1,Sun,L 34-43,0,0,0,0,0,0,0,34,41,GNB
17,NOR,1,83,6.9,3.3,0.181,0.0,3,2,15.0,0,0,1,32,34,2,6,1,NOR,1,82,7.9,3.8,0.22,0.037,3,1,18.0,2,1,3,39,26,2,5,6,NOR,2020,2020-09-13,04:25:00,03:25:00,0,TAM,1,1,Sun,W 34-23,0,4,4,4,2,2,0,0,0,18,NOR,2020,2020-09-13,04:25:00,03:25:00,0,TAM,1,1,Sun,W 34-23,0,0,0,1,0,0,1,34,23,TAM
18,NWE,1,74,7.4,4.8,0.351,0.014,3,0,26.0,0,1,2,21,42,1,4,1,NWE,1,67,7.2,4.0,0.254,0.045,1,1,17.0,3,0,1,31,27,1,3,15,NWE,2020,2020-09-13,01:00:00,01:00:00,0,MIA,1,1,Sun,W 21-11,0,3,3,3,1,0,0,0,0,19,NWE,2020,2020-09-13,01:00:00,01:00:00,0,MIA,1,1,Sun,W 21-11,0,0,0,0,0,0,0,21,11,MIA
