,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,UniquePlayer,Week,Player,CmpPass,AttPass,Cmp%Pass,YdsPass1,TDPass,IntPass,SkPass,YdsPass2,Y/APass,1DPass,RateRec,TgtRec,RecRec,Ctch%Rec,YdsRec,TDRec,1DRec,AttRush,YdsRush,Y/ARush,TDRush,1DRush,SkYdsPass,PY_ind,RY_ind,RecY_ind,FantasyPoints_DK,CALCAVGCtch%Rec,CALCAVG1DRec,CALCAVG1DRush,CALCAVG1DPass,CALCAVGSkPass,CALCAVGAttRush,CALCAVGTDRec,CALCAVGRateRec,CALCAVGY/APass,CALCAVGCmp%Pass,CALCAVGIntPass,CALCAVGYdsRec,CALCAVGTDPass,CALCAVGCmpPass,CALCAVGY/ARush,CALCAVGYdsPass2,CALCAVGYdsRush,CALCAVGYdsPass1,CALCAVGTDRush,CALCAVGRecRec,CALCAVGSkYdsPass,CALCAVGTgtRec,CALCAVGRecY_ind,CALCAVGAttPass
0,RB,Christian McCaffrey (15409670),Christian McCaffrey,15409670,RB/FLEX,10000,CAR@TB 09/20/2020 01:00PM ET,15260878,28.5,Christian McCaffreyRB15260878,2,Christian McCaffrey,0,0,0,0,0,0,0,0,0,0,0,5,4,0.8,29,0,2,18,59,3.28,2,3,0,0,0,0,24.8,0.75,2.0,6.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,4.22,0.0,97.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0
1,RB,Saquon Barkley (15409868),Saquon Barkley,15409868,RB/FLEX,8400,NYG@CHI 09/20/2020 01:00PM ET,15260879,12.6,Saquon BarkleyRB15260879,2,Saquon Barkley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,7,0,1,0,0,0,0,2.8,0.667,3.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.4,0.0,6.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0
2,RB,Ezekiel Elliott (15409515),Ezekiel Elliott,15409515,RB/FLEX,8200,ATL@DAL 09/20/2020 01:00PM ET,15260870,27.7,Ezekiel ElliottRB15260870,2,Ezekiel Elliott,0,0,0,0,0,0,0,0,0,0,0,7,6,0.857,33,0,2,22,89,4.05,1,6,0,0,0,0,24.200000000000003,0.75,2.0,7.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,4.36,0.0,96.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0
3,QB,Lamar Jackson (15409814),Lamar Jackson,15409814,QB,8200,BAL@HOU 09/20/2020 04:25PM ET,15260866,27.5,Lamar JacksonQB15260866,2,Lamar Jackson,18,24,75,204,1,0,4,-27,8.5,11,113.9,0,0,0,0,0,0,16,54,3.38,0,4,-27,0,0,0,17.560000000000002,0.0,0.0,2.0,15.0,2.0,7.0,0.0,152.1,11.0,80.0,0.0,0.0,3.0,20.0,6.43,-14.0,45.0,275.0,0.0,0.0,-14.0,0.0,0.0,25.0
4,WR,Davante Adams (15409407),Davante Adams,15409407,WR/FLEX,8100,DET@GB 09/20/2020 01:00PM ET,15260875,44.6,Davante AdamsWR15260875,2,Davante Adams,0,0,0,0,0,0,0,0,0,0,0,3,3,1,36,0,2,0,0,0,0,0,0,0,0,0,6.6,0.824,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,17.0,3.0,0.0
5,RB,Derrick Henry (15409520),Derrick Henry,15409520,RB/FLEX,7900,JAX@TEN 09/20/2020 01:00PM ET,15260871,19.1,Derrick HenryRB15260871,2,Derrick Henry,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,25,84,3.36,0,5,0,0,0,0,8.4,1.0,1.0,4.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.74,0.0,116.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
6,RB,Alvin Kamara (15409603),Alvin Kamara,15409603,RB/FLEX,7800,NO@LV 09/21/2020 08:15PM ET,15260880,23.7,Alvin KamaraRB15260880,2,Alvin Kamara,0,0,0,0,0,0,0,0,0,0,0,9,9,1,95,0,4,13,79,6.08,2,6,0,0,0,0,38.4,0.625,2.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,1.33,0.0,16.0,0.0,1.0,5.0,0.0,8.0,0.0,0.0
7,WR,DeAndre Hopkins (15409315),DeAndre Hopkins,15409315,WR/FLEX,7700,WAS@ARI 09/20/2020 04:05PM ET,15260888,32.1,DeAndre HopkinsWR15260888,2,DeAndre Hopkins,0,0,0,0,0,0,0,0,0,0,0,9,8,0.889,68,1,5,0,0,0,0,0,0,0,0,0,20.8,0.875,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,16.0,3.0,0.0
8,QB,Patrick Mahomes (15409757),Patrick Mahomes,15409757,QB,7700,KC@LAC 09/20/2020 04:25PM ET,15260868,20.44,Patrick MahomesQB15260868,2,Patrick Mahomes,27,47,57.4,302,2,0,1,-13,6.4,15,90.9,0,0,0,0,0,0,6,54,9,0,4,-13,3,0,0,28.479999999999997,0.0,0.0,0.0,16.0,1.0,0.0,0.0,123.3,6.6,75.0,0.0,0.0,3.0,24.0,0.0,-8.0,0.0,211.0,0.0,0.0,-8.0,0.0,0.0,32.0
9,RB,Dalvin Cook (15409661),Dalvin Cook,15409661,RB/FLEX,7600,MIN@IND 09/20/2020 01:00PM ET,15260877,21.8,Dalvin CookRB15260877,2,Dalvin Cook,0,0,0,0,0,0,0,0,0,0,0,2,2,1,8,0,0,14,63,4.5,1,3,0,0,0,0,15.1,0.5,0.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,4.17,0.0,50.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
