,Player,Week,CALCAVGYdsPass2,CALCAVGCmp%Pass,CALCAVGTgtRec,CALCAVG1DPass,CALCAVGTDPass,CALCAVGRateRec,CALCAVGRecY_ind,CALCAVGCmpPass,CALCAVGYdsPass1,CALCAVGIntPass,CALCAVGTDRec,CALCAVG1DRec,CALCAVGY/APass,CALCAVGSkPass,CALCAVG1DRush,CALCAVGAttPass,CALCAVGRecRec,CALCAVGY/ARush,CALCAVGSkYdsPass,CALCAVGCtch%Rec,CALCAVGAttRush,CALCAVGTDRush,CALCAVGYdsRec,CALCAVGYdsRush,UniquePlayer,Position,Name + ID,Name,ID_x,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,HomeTeam,AwayTeam,OpposingTeam,OpposingTeamAbbrev_x,OffenseTeam,ID_y,OpposingTeamAbbrev_y,CALCAVGGOFNS,CALCAVGPlaysOFNS,CALCAVGToGoOFNS,CALCAVGYdsOFNS,CALCAVG1st%OFNS,CALCAVGTO%OFNS,CALCAVGTDOFNS,CALCAVGFGOFNS,CALCAVGnanOFNS,CALCAVGIntOFNS,CALCAVGFmbOFNS,CALCAVGSkOFNS,CALCAVGPassOFNS,CALCAVGRushOFNS,CALCAVGFGOFNS1,CALCAVGPuntOFNS,ID,OpposingTeamAbbrev,CALCAVGGDFNS,CALCAVGPlaysDFNS,CALCAVGToGoDFNS,CALCAVGYdsDFNS,CALCAVG1st%DFNS,CALCAVGTO%DFNS,CALCAVGTDDFNS,CALCAVGFGDFNS,CALCAVGnanDFNS,CALCAVGIntDFNS,CALCAVGFmbDFNS,CALCAVGSkDFNS,CALCAVGPassDFNS,CALCAVGRushDFNS,CALCAVGFGDFNS1,CALCAVGPuntDFNS
7,A.J. Brown,11,0.0,0.0,7.428571428571429,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.8571428571428571,3.4285714285714284,0.0,0.0,0.0,0.0,4.571428571428571,0.0,0.0,0.5902857142857142,0.0,0.0,68.28571428571429,0.0,A.J. BrownWR15260871,WR,A.J. Brown (15784861),A.J. Brown,15784861,WR/FLEX,7200,TEN@BAL 11/22/2020 01:00PM ET,TEN,17.4,BAL,TEN,BAL,15260866,15260871,15260866,BAL,1.0,78.0,7.3999999999999995,4.755555555555556,0.2636666666666667,0.0054444444444444445,3.3333333333333335,1.3333333333333333,20.666666666666668,0.3333333333333333,0.1111111111111111,1.4444444444444444,32.666666666666664,30.88888888888889,2.2222222222222223,3.5555555555555554,15260871,TEN,1.0,77.22222222222223,7.711111111111112,4.155555555555555,0.2401111111111111,0.020111111111111114,2.2222222222222223,0.7777777777777778,18.555555555555557,0.4444444444444444,1.1111111111111112,2.7777777777777777,39.0,24.22222222222222,1.2222222222222223,4.444444444444445
15,A.J. Green,11,0.0,0.0,7.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,3.4444444444444446,0.0,0.0,0.3872222222222222,0.0,0.0,35.111111111111114,0.0,A.J. GreenWR15260869,WR,A.J. Green (15784987),A.J. Green,15784987,WR/FLEX,3600,CIN@WAS 11/22/2020 01:00PM ET,CIN,6.96,WAS,CIN,WAS,15260891,15260869,15260891,WAS,1.0,86.11111111111111,7.7555555555555555,4.1,0.2542222222222222,0.014555555555555556,2.3333333333333335,2.111111111111111,22.0,0.5555555555555556,0.6666666666666666,3.5555555555555554,44.666666666666664,26.333333333333332,2.3333333333333335,4.333333333333333,15260869,CIN,1.0,74.66666666666667,8.055555555555555,4.2444444444444445,0.23333333333333328,0.016333333333333335,2.5555555555555554,1.8888888888888888,17.444444444444443,0.8888888888888888,0.3333333333333333,3.0,32.333333333333336,29.0,2.0,4.222222222222222
23,AJ Dillon,11,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.16666666666666666,4.333333333333333,0.0,0.16666666666666666,3.8333333333333335,0.0,2.6666666666666665,16.166666666666668,AJ DillonRB15260875,RB,AJ Dillon (15784751),AJ Dillon,15784751,RB/FLEX,4000,GB@IND 11/22/2020 04:25PM ET,GB,2.05,IND,GB,IND,15260867,15260875,15260867,IND,1.0,77.0,7.433333333333334,5.122222222222222,0.2603333333333333,0.007333333333333334,3.6666666666666665,1.3333333333333333,20.11111111111111,0.3333333333333333,0.2222222222222222,1.2222222222222223,36.111111111111114,27.444444444444443,1.3333333333333333,3.111111111111111,15260875,GB,1.0,74.11111111111111,7.611111111111111,3.8666666666666663,0.22522222222222224,0.01977777777777778,2.0,1.2222222222222223,16.88888888888889,1.2222222222222223,0.2222222222222222,2.3333333333333335,34.111111111111114,26.0,1.5555555555555556,4.222222222222222
31,Aaron Jones,11,0.0,0.0,5.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,1.5714285714285714,0.0,0.0,3.142857142857143,0.0,4.0,4.4871428571428575,0.0,0.7285714285714285,14.714285714285714,0.7142857142857143,33.0,70.42857142857143,Aaron JonesRB15260875,RB,Aaron Jones (15784569),Aaron Jones,15784569,RB/FLEX,7200,GB@IND 11/22/2020 04:25PM ET,GB,20.77,IND,GB,IND,15260867,15260875,15260867,IND,1.0,77.0,7.433333333333334,5.122222222222222,0.2603333333333333,0.007333333333333334,3.6666666666666665,1.3333333333333333,20.11111111111111,0.3333333333333333,0.2222222222222222,1.2222222222222223,36.111111111111114,27.444444444444443,1.3333333333333333,3.111111111111111,15260875,GB,1.0,74.11111111111111,7.611111111111111,3.8666666666666663,0.22522222222222224,0.01977777777777778,2.0,1.2222222222222223,16.88888888888889,1.2222222222222223,0.2222222222222222,2.3333333333333335,34.111111111111114,26.0,1.5555555555555556,4.222222222222222
39,Aaron Rodgers,11,-10.88888888888889,67.83333333333333,0.1111111111111111,14.0,2.888888888888889,115.7222222222222,0.0,23.666666666666668,286.44444444444446,0.3333333333333333,0.0,0.0,8.266666666666667,1.1111111111111112,0.6666666666666666,34.888888888888886,0.1111111111111111,4.314444444444444,-10.88888888888889,0.1111111111111111,1.5555555555555556,0.1111111111111111,-0.6666666666666666,7.222222222222222,Aaron RodgersQB15260875,QB,Aaron Rodgers (15784489),Aaron Rodgers,15784489,QB,7000,GB@IND 11/22/2020 04:25PM ET,GB,25.34,IND,GB,IND,15260867,15260875,15260867,IND,1.0,77.0,7.433333333333334,5.122222222222222,0.2603333333333333,0.007333333333333334,3.6666666666666665,1.3333333333333333,20.11111111111111,0.3333333333333333,0.2222222222222222,1.2222222222222223,36.111111111111114,27.444444444444443,1.3333333333333333,3.111111111111111,15260875,GB,1.0,74.11111111111111,7.611111111111111,3.8666666666666663,0.22522222222222224,0.01977777777777778,2.0,1.2222222222222223,16.88888888888889,1.2222222222222223,0.2222222222222222,2.3333333333333335,34.111111111111114,26.0,1.5555555555555556,4.222222222222222
48,Adam Humphries,11,0.0,0.0,5.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.8333333333333333,0.0,0.16666666666666666,0.0,0.0,3.6666666666666665,0.0,0.0,0.5990000000000001,0.0,0.0,36.5,0.0,Adam HumphriesWR15260871,WR,Adam Humphries (15785023),Adam Humphries,15785023,WR/FLEX,3200,TEN@BAL 11/22/2020 01:00PM ET,TEN,9.32,BAL,TEN,BAL,15260866,15260871,15260866,BAL,1.0,78.0,7.3999999999999995,4.755555555555556,0.2636666666666667,0.0054444444444444445,3.3333333333333335,1.3333333333333333,20.666666666666668,0.3333333333333333,0.1111111111111111,1.4444444444444444,32.666666666666664,30.88888888888889,2.2222222222222223,3.5555555555555554,15260871,TEN,1.0,77.22222222222223,7.711111111111112,4.155555555555555,0.2401111111111111,0.020111111111111114,2.2222222222222223,0.7777777777777778,18.555555555555557,0.4444444444444444,1.1111111111111112,2.7777777777777777,39.0,24.22222222222222,1.2222222222222223,4.444444444444445
56,Adam Thielen,11,0.0,0.0,7.222222222222222,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,3.2222222222222223,0.0,0.0,0.0,0.0,4.555555555555555,1.6666666666666667,0.0,0.6153333333333334,0.3333333333333333,0.0,58.111111111111114,1.6666666666666667,Adam ThielenWR15260877,WR,Adam Thielen (15784873),Adam Thielen,15784873,WR/FLEX,6300,DAL@MIN 11/22/2020 04:25PM ET,MIN,17.42,MIN,DAL,DAL,15260870,15260877,15260870,DAL,1.0,73.22222222222223,7.355555555555556,5.222222222222222,0.2682222222222222,0.02422222222222222,3.3333333333333335,0.8888888888888888,19.77777777777778,1.2222222222222223,0.5555555555555556,1.8888888888888888,29.11111111111111,29.77777777777778,1.1111111111111112,3.5555555555555554,15260877,MIN,1.0,81.0,7.088888888888889,4.699999999999999,0.2508888888888889,0.010555555555555556,3.5555555555555554,1.7777777777777777,20.444444444444443,0.3333333333333333,0.4444444444444444,1.8888888888888888,34.55555555555556,31.666666666666668,2.0,3.5555555555555554
64,Adrian Peterson,11,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.2222222222222223,0.0,1.2222222222222223,3.863333333333333,0.0,0.7333333333333333,10.777777777777779,0.2222222222222222,8.666666666666666,41.22222222222222,Adrian PetersonRB15260874,RB,Adrian Peterson (15784787),Adrian Peterson,15784787,RB/FLEX,4000,DET@CAR 11/22/2020 01:00PM ET,DET,7.54,CAR,DET,CAR,15260878,15260874,15260878,CAR,1.0,77.66666666666667,7.833333333333333,4.633333333333334,0.2536666666666667,0.012222222222222223,2.7777777777777777,1.8888888888888888,19.77777777777778,0.8888888888888888,0.1111111111111111,2.4444444444444446,38.44444444444444,24.444444444444443,2.5555555555555554,3.6666666666666665,15260874,DET,1.0,77.4,7.580000000000001,4.880000000000001,0.2861,0.016700000000000003,3.0,2.2,22.2,0.5,0.8,1.0,38.2,26.2,2.3,2.4
72,Alex Armah,11,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,0.7857142857142857,0.0,0.2857142857142857,0.7142857142857143,0.0,1.2857142857142858,0.8571428571428571,Alex ArmahRB15260878,RB,Alex Armah (15784785),Alex Armah,15784785,RB/FLEX,4000,DET@CAR 11/22/2020 01:00PM ET,CAR,0.56,CAR,DET,DET,15260874,15260878,15260874,DET,1.0,73.6,7.2700000000000005,4.67,0.25749999999999995,0.013300000000000001,2.5,2.0,19.2,0.7,0.3,2.1,35.8,24.0,2.5,2.6,15260878,CAR,1.0,81.0,7.322222222222223,4.977777777777778,0.2945555555555555,0.011222222222222222,3.6666666666666665,0.8888888888888888,23.88888888888889,0.5555555555555556,0.3333333333333333,1.4444444444444444,37.111111111111114,30.333333333333332,1.1111111111111112,3.3333333333333335
80,Alexander Mattison,11,0.0,0.0,1.2222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.8888888888888888,0.0,1.0,4.121111111111111,0.0,0.3333333333333333,7.888888888888889,0.1111111111111111,6.777777777777778,36.22222222222222,Alexander MattisonRB15260877,RB,Alexander Mattison (15784593),Alexander Mattison,15784593,RB/FLEX,6200,DAL@MIN 11/22/2020 04:25PM ET,MIN,6.3,MIN,DAL,DAL,15260870,15260877,15260870,DAL,1.0,73.22222222222223,7.355555555555556,5.222222222222222,0.2682222222222222,0.02422222222222222,3.3333333333333335,0.8888888888888888,19.77777777777778,1.2222222222222223,0.5555555555555556,1.8888888888888888,29.11111111111111,29.77777777777778,1.1111111111111112,3.5555555555555554,15260877,MIN,1.0,81.0,7.088888888888889,4.699999999999999,0.2508888888888889,0.010555555555555556,3.5555555555555554,1.7777777777777777,20.444444444444443,0.3333333333333333,0.4444444444444444,1.8888888888888888,34.55555555555556,31.666666666666668,2.0,3.5555555555555554
