,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,HomeTeam,AwayTeam,OpposingTeam,OpponentUID,TeamUID,OffenseTeam,Week,UniquePlayer,TmOFNS,CALCAVGPTDOFFPlaysOFNS,CALCAVGPTDOFFToGoOFNS,CALCAVGPTDOFFYdsOFNS,CALCAVGPTDOFF1st%OFNS,CALCAVGPTDOFFTO%OFNS,CALCAVGPTDOFFTDOFNS,CALCAVGPTDOFFFGOFNS,CALCAVGPTDOFFnanOFNS,CALCAVGPTDOFFIntOFNS,CALCAVGPTDOFFFmbOFNS,CALCAVGPTDOFFSkOFNS,CALCAVGPTDOFFPassOFNS,CALCAVGPTDOFFRushOFNS,CALCAVGPTDOFFFGOFNS1,CALCAVGPTDOFFPuntOFNS,CALCAVGPTDOFFGDFNS,CALCAVGPTDOFFPlaysDFNS,CALCAVGPTDOFFToGoDFNS,CALCAVGPTDOFFYdsDFNS,CALCAVGPTDOFF1st%DFNS,CALCAVGPTDOFFTO%DFNS,CALCAVGPTDOFFTDDFNS,CALCAVGPTDOFFFGDFNS,CALCAVGPTDOFFnanDFNS,CALCAVGPTDOFFIntDFNS,CALCAVGPTDOFFFmbDFNS,CALCAVGPTDOFFSkDFNS,CALCAVGPTDOFFPassDFNS,CALCAVGPTDOFFRushDFNS,CALCAVGPTDOFFFGDFNS1,CALCAVGPTDOFFPuntDFNS,CALCAVGPTDOFFRkALLSCR,CALCAVGPTDOFFTDALLSCR,CALCAVGPTDOFFXPAALLSCR,CALCAVGPTDOFFXPMALLSCR,CALCAVGPTDOFFFGAALLSCR,CALCAVGPTDOFFFGMALLSCR,CALCAVGPTDOFF2PAALLSCR,CALCAVGPTDOFF2PMALLSCR,CALCAVGPTDOFFSftyALLSCR,CALCAVGPTDOFFRkDSTSCR,CALCAVGPTDOFFKRDSTSCR,CALCAVGPTDOFFPRDSTSCR,CALCAVGPTDOFFIRDSTSCR,CALCAVGPTDOFFFRDSTSCR,CALCAVGPTDOFFORDSTSCR,CALCAVGPTDOFFRetTDDSTSCR,CALCAVGPTDOFFPtsFor,CALCAVGPTDOFFPtsAgainst,OffenseUID,Opponent,CALCAVGPTDOPPPlaysOFNS,CALCAVGPTDOPPToGoOFNS,CALCAVGPTDOPPYdsOFNS,CALCAVGPTDOPP1st%OFNS,CALCAVGPTDOPPTO%OFNS,CALCAVGPTDOPPTDOFNS,CALCAVGPTDOPPFGOFNS,CALCAVGPTDOPPnanOFNS,CALCAVGPTDOPPIntOFNS,CALCAVGPTDOPPFmbOFNS,CALCAVGPTDOPPSkOFNS,CALCAVGPTDOPPPassOFNS,CALCAVGPTDOPPRushOFNS,CALCAVGPTDOPPFGOFNS1,CALCAVGPTDOPPPuntOFNS,CALCAVGPTDOPPGDFNS,CALCAVGPTDOPPPlaysDFNS,CALCAVGPTDOPPToGoDFNS,CALCAVGPTDOPPYdsDFNS,CALCAVGPTDOPP1st%DFNS,CALCAVGPTDOPPTO%DFNS,CALCAVGPTDOPPTDDFNS,CALCAVGPTDOPPFGDFNS,CALCAVGPTDOPPnanDFNS,CALCAVGPTDOPPIntDFNS,CALCAVGPTDOPPFmbDFNS,CALCAVGPTDOPPSkDFNS,CALCAVGPTDOPPPassDFNS,CALCAVGPTDOPPRushDFNS,CALCAVGPTDOPPFGDFNS1,CALCAVGPTDOPPPuntDFNS,CALCAVGPTDOPPRkALLSCR,CALCAVGPTDOPPTDALLSCR,CALCAVGPTDOPPXPAALLSCR,CALCAVGPTDOPPXPMALLSCR,CALCAVGPTDOPPFGAALLSCR,CALCAVGPTDOPPFGMALLSCR,CALCAVGPTDOPP2PAALLSCR,CALCAVGPTDOPP2PMALLSCR,CALCAVGPTDOPPSftyALLSCR,CALCAVGPTDOPPRkDSTSCR,CALCAVGPTDOPPKRDSTSCR,CALCAVGPTDOPPPRDSTSCR,CALCAVGPTDOPPIRDSTSCR,CALCAVGPTDOPPFRDSTSCR,CALCAVGPTDOPPORDSTSCR,CALCAVGPTDOPPRetTDDSTSCR,CALCAVGPTDOPPPtsFor,CALCAVGPTDOPPPtsAgainst,DefenseUID,Player,CALCAVGPPDOFFCmpPass,CALCAVGPPDOFFAttPass,CALCAVGPPDOFFCmp%Pass,CALCAVGPPDOFFYdsPass1,CALCAVGPPDOFFTDPass,CALCAVGPPDOFFIntPass,CALCAVGPPDOFFSkPass,CALCAVGPPDOFFYdsPass2,CALCAVGPPDOFFY/APass,CALCAVGPPDOFF1DPass,CALCAVGPPDOFFRateRec,CALCAVGPPDOFFTgtRec,CALCAVGPPDOFFRecRec,CALCAVGPPDOFFCtch%Rec,CALCAVGPPDOFFYdsRec,CALCAVGPPDOFFTDRec,CALCAVGPPDOFF1DRec,CALCAVGPPDOFFAttRush,CALCAVGPPDOFFYdsRush,CALCAVGPPDOFFY/ARush,CALCAVGPPDOFFTDRush,CALCAVGPPDOFF1DRush,CALCAVGPPDOFFSkYdsPass
0,RB,Dalvin Cook (15848308),Dalvin Cook,15848308,RB/FLEX,9500,CAR@MIN 11/29/2020 01:00PM ET,MIN,28.7,MIN,CAR,CAR,10019,10018,15260877,12,Dalvin CookRB15260877,MIN,73.4,7.32,5.2700000000000005,0.27209999999999995,0.0245,3.4,0.8,20.1,1.1,0.7,1.9,29.4,29.7,1.0,3.5,1.0,79.8,7.420000000000002,4.7299999999999995,0.2642999999999999,0.0126,2.9,2.4,21.3,0.8,0.2,1.9,37.9,28.4,2.5,2.8,11.3,3.4,2.5,2.4,1.0,0.8,0.9,0.6,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,26.4,27.4,10018,CAR,76.45454545454545,7.645454545454546,4.690909090909091,0.2736363636363637,0.01654545454545455,2.727272727272727,2.0,21.09090909090909,0.45454545454545453,0.8181818181818182,1.3636363636363635,38.18181818181818,25.363636363636363,2.1818181818181817,2.727272727272727,1.0,74.0909090909091,7.372727272727274,4.672727272727273,0.256,0.014363636363636363,2.4545454545454546,2.0,19.181818181818183,0.8181818181818182,0.2727272727272727,2.0,35.81818181818182,24.90909090909091,2.4545454545454546,2.727272727272727,15.545454545454545,2.727272727272727,2.6363636363636362,2.3636363636363638,2.1818181818181817,2.0,0.09090909090909091,0.0,0.0,14.818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,24.727272727272727,23.0,10019,Dalvin CookRB15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,2.7777777777777777,0.8407777777777778,26.0,0.1111111111111111,1.2222222222222223,22.333333333333332,118.77777777777777,5.308888888888888,1.4444444444444444,6.444444444444445,0.0
1,WR,Adam Thielen (15848630),Adam Thielen,15848630,WR/FLEX,6800,CAR@MIN 11/29/2020 01:00PM ET,MIN,19.21,MIN,CAR,CAR,10019,10018,15260877,12,Adam ThielenWR15260877,MIN,73.4,7.32,5.2700000000000005,0.27209999999999995,0.0245,3.4,0.8,20.1,1.1,0.7,1.9,29.4,29.7,1.0,3.5,1.0,79.8,7.420000000000002,4.7299999999999995,0.2642999999999999,0.0126,2.9,2.4,21.3,0.8,0.2,1.9,37.9,28.4,2.5,2.8,11.3,3.4,2.5,2.4,1.0,0.8,0.9,0.6,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,26.4,27.4,10018,CAR,76.45454545454545,7.645454545454546,4.690909090909091,0.2736363636363637,0.01654545454545455,2.727272727272727,2.0,21.09090909090909,0.45454545454545453,0.8181818181818182,1.3636363636363635,38.18181818181818,25.363636363636363,2.1818181818181817,2.727272727272727,1.0,74.0909090909091,7.372727272727274,4.672727272727273,0.256,0.014363636363636363,2.4545454545454546,2.0,19.181818181818183,0.8181818181818182,0.2727272727272727,2.0,35.81818181818182,24.90909090909091,2.4545454545454546,2.727272727272727,15.545454545454545,2.727272727272727,2.6363636363636362,2.3636363636363638,2.1818181818181817,2.0,0.09090909090909091,0.0,0.0,14.818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,24.727272727272727,23.0,10019,Adam ThielenWR15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,4.9,0.6265000000000001,64.6,1.1,3.5,0.3,1.5,1.5,0.0,0.0,0.0
2,WR,Justin Jefferson (15848642),Justin Jefferson,15848642,WR/FLEX,6300,CAR@MIN 11/29/2020 01:00PM ET,MIN,16.78,MIN,CAR,CAR,10019,10018,15260877,12,Justin JeffersonWR15260877,MIN,73.4,7.32,5.2700000000000005,0.27209999999999995,0.0245,3.4,0.8,20.1,1.1,0.7,1.9,29.4,29.7,1.0,3.5,1.0,79.8,7.420000000000002,4.7299999999999995,0.2642999999999999,0.0126,2.9,2.4,21.3,0.8,0.2,1.9,37.9,28.4,2.5,2.8,11.3,3.4,2.5,2.4,1.0,0.8,0.9,0.6,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,26.4,27.4,10018,CAR,76.45454545454545,7.645454545454546,4.690909090909091,0.2736363636363637,0.01654545454545455,2.727272727272727,2.0,21.09090909090909,0.45454545454545453,0.8181818181818182,1.3636363636363635,38.18181818181818,25.363636363636363,2.1818181818181817,2.727272727272727,1.0,74.0909090909091,7.372727272727274,4.672727272727273,0.256,0.014363636363636363,2.4545454545454546,2.0,19.181818181818183,0.8181818181818182,0.2727272727272727,2.0,35.81818181818182,24.90909090909091,2.4545454545454546,2.727272727272727,15.545454545454545,2.727272727272727,2.6363636363636362,2.3636363636363638,2.1818181818181817,2.0,0.09090909090909091,0.0,0.0,14.818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,24.727272727272727,23.0,10019,Justin JeffersonWR15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,4.5,0.7563,84.8,0.4,3.2,0.0,0.0,0.0,0.0,0.0,0.0
3,QB,Kirk Cousins (15848238),Kirk Cousins,15848238,QB,6100,CAR@MIN 11/29/2020 01:00PM ET,MIN,18.32,MIN,CAR,CAR,10019,10018,15260877,12,Kirk CousinsQB15260877,MIN,73.4,7.32,5.2700000000000005,0.27209999999999995,0.0245,3.4,0.8,20.1,1.1,0.7,1.9,29.4,29.7,1.0,3.5,1.0,79.8,7.420000000000002,4.7299999999999995,0.2642999999999999,0.0126,2.9,2.4,21.3,0.8,0.2,1.9,37.9,28.4,2.5,2.8,11.3,3.4,2.5,2.4,1.0,0.8,0.9,0.6,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,26.4,27.4,10018,CAR,76.45454545454545,7.645454545454546,4.690909090909091,0.2736363636363637,0.01654545454545455,2.727272727272727,2.0,21.09090909090909,0.45454545454545453,0.8181818181818182,1.3636363636363635,38.18181818181818,25.363636363636363,2.1818181818181817,2.727272727272727,1.0,74.0909090909091,7.372727272727274,4.672727272727273,0.256,0.014363636363636363,2.4545454545454546,2.0,19.181818181818183,0.8181818181818182,0.2727272727272727,2.0,35.81818181818182,24.90909090909091,2.4545454545454546,2.727272727272727,15.545454545454545,2.727272727272727,2.6363636363636362,2.3636363636363638,2.1818181818181817,2.0,0.09090909090909091,0.0,0.0,14.818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,24.727272727272727,23.0,10019,Kirk CousinsQB15260877,18.4,27.5,67.24999999999999,246.1,2.0,1.1,1.9,-9.7,9.27,11.4,106.17999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.3,5.8,2.175,0.0,0.7,-9.7
4,RB,Alexander Mattison (15848340),Alexander Mattison,15848340,RB/FLEX,6000,CAR@MIN 11/29/2020 01:00PM ET,MIN,5.73,MIN,CAR,CAR,10019,10018,15260877,12,Alexander MattisonRB15260877,MIN,73.4,7.32,5.2700000000000005,0.27209999999999995,0.0245,3.4,0.8,20.1,1.1,0.7,1.9,29.4,29.7,1.0,3.5,1.0,79.8,7.420000000000002,4.7299999999999995,0.2642999999999999,0.0126,2.9,2.4,21.3,0.8,0.2,1.9,37.9,28.4,2.5,2.8,11.3,3.4,2.5,2.4,1.0,0.8,0.9,0.6,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,26.4,27.4,10018,CAR,76.45454545454545,7.645454545454546,4.690909090909091,0.2736363636363637,0.01654545454545455,2.727272727272727,2.0,21.09090909090909,0.45454545454545453,0.8181818181818182,1.3636363636363635,38.18181818181818,25.363636363636363,2.1818181818181817,2.727272727272727,1.0,74.0909090909091,7.372727272727274,4.672727272727273,0.256,0.014363636363636363,2.4545454545454546,2.0,19.181818181818183,0.8181818181818182,0.2727272727272727,2.0,35.81818181818182,24.90909090909091,2.4545454545454546,2.727272727272727,15.545454545454545,2.727272727272727,2.6363636363636362,2.3636363636363638,2.1818181818181817,2.0,0.09090909090909091,0.0,0.0,14.818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,24.727272727272727,23.0,10019,Alexander MattisonRB15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.9,0.3,6.1,0.0,0.3,7.2,33.2,4.309,0.1,1.8,0.0
5,TE,Irv Smith Jr. (15849074),Irv Smith Jr.,15849074,TE/FLEX,3100,CAR@MIN 11/29/2020 01:00PM ET,MIN,5.24,MIN,CAR,CAR,10019,10018,15260877,12,Irv Smith Jr.TE15260877,MIN,73.4,7.32,5.2700000000000005,0.27209999999999995,0.0245,3.4,0.8,20.1,1.1,0.7,1.9,29.4,29.7,1.0,3.5,1.0,79.8,7.420000000000002,4.7299999999999995,0.2642999999999999,0.0126,2.9,2.4,21.3,0.8,0.2,1.9,37.9,28.4,2.5,2.8,11.3,3.4,2.5,2.4,1.0,0.8,0.9,0.6,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,26.4,27.4,10018,CAR,76.45454545454545,7.645454545454546,4.690909090909091,0.2736363636363637,0.01654545454545455,2.727272727272727,2.0,21.09090909090909,0.45454545454545453,0.8181818181818182,1.3636363636363635,38.18181818181818,25.363636363636363,2.1818181818181817,2.727272727272727,1.0,74.0909090909091,7.372727272727274,4.672727272727273,0.256,0.014363636363636363,2.4545454545454546,2.0,19.181818181818183,0.8181818181818182,0.2727272727272727,2.0,35.81818181818182,24.90909090909091,2.4545454545454546,2.727272727272727,15.545454545454545,2.727272727272727,2.6363636363636362,2.3636363636363638,2.1818181818181817,2.0,0.09090909090909091,0.0,0.0,14.818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,24.727272727272727,23.0,10019,Irv Smith Jr.TE15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.875,1.875,0.66875,22.75,0.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0
6,WR,Olabisi Johnson (15848866),Olabisi Johnson,15848866,WR/FLEX,3000,CAR@MIN 11/29/2020 01:00PM ET,MIN,2.31,MIN,CAR,CAR,10019,10018,15260877,12,Olabisi JohnsonWR15260877,MIN,73.4,7.32,5.2700000000000005,0.27209999999999995,0.0245,3.4,0.8,20.1,1.1,0.7,1.9,29.4,29.7,1.0,3.5,1.0,79.8,7.420000000000002,4.7299999999999995,0.2642999999999999,0.0126,2.9,2.4,21.3,0.8,0.2,1.9,37.9,28.4,2.5,2.8,11.3,3.4,2.5,2.4,1.0,0.8,0.9,0.6,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,26.4,27.4,10018,CAR,76.45454545454545,7.645454545454546,4.690909090909091,0.2736363636363637,0.01654545454545455,2.727272727272727,2.0,21.09090909090909,0.45454545454545453,0.8181818181818182,1.3636363636363635,38.18181818181818,25.363636363636363,2.1818181818181817,2.727272727272727,1.0,74.0909090909091,7.372727272727274,4.672727272727273,0.256,0.014363636363636363,2.4545454545454546,2.0,19.181818181818183,0.8181818181818182,0.2727272727272727,2.0,35.81818181818182,24.90909090909091,2.4545454545454546,2.727272727272727,15.545454545454545,2.727272727272727,2.6363636363636362,2.3636363636363638,2.1818181818181817,2.0,0.09090909090909091,0.0,0.0,14.818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,24.727272727272727,23.0,10019,Olabisi JohnsonWR15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,1.0,0.5138333333333334,17.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
7,TE,Kyle Rudolph (15849088),Kyle Rudolph,15849088,TE/FLEX,2800,CAR@MIN 11/29/2020 01:00PM ET,MIN,5.26,MIN,CAR,CAR,10019,10018,15260877,12,Kyle RudolphTE15260877,MIN,73.4,7.32,5.2700000000000005,0.27209999999999995,0.0245,3.4,0.8,20.1,1.1,0.7,1.9,29.4,29.7,1.0,3.5,1.0,79.8,7.420000000000002,4.7299999999999995,0.2642999999999999,0.0126,2.9,2.4,21.3,0.8,0.2,1.9,37.9,28.4,2.5,2.8,11.3,3.4,2.5,2.4,1.0,0.8,0.9,0.6,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,26.4,27.4,10018,CAR,76.45454545454545,7.645454545454546,4.690909090909091,0.2736363636363637,0.01654545454545455,2.727272727272727,2.0,21.09090909090909,0.45454545454545453,0.8181818181818182,1.3636363636363635,38.18181818181818,25.363636363636363,2.1818181818181817,2.727272727272727,1.0,74.0909090909091,7.372727272727274,4.672727272727273,0.256,0.014363636363636363,2.4545454545454546,2.0,19.181818181818183,0.8181818181818182,0.2727272727272727,2.0,35.81818181818182,24.90909090909091,2.4545454545454546,2.727272727272727,15.545454545454545,2.727272727272727,2.6363636363636362,2.3636363636363638,2.1818181818181817,2.0,0.09090909090909091,0.0,0.0,14.818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,24.727272727272727,23.0,10019,Kyle RudolphTE15260877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.1,0.7466999999999999,26.6,0.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0
8,RB,Christian McCaffrey (15848310),Christian McCaffrey,15848310,RB/FLEX,9200,CAR@MIN 11/29/2020 01:00PM ET,CAR,30.13,MIN,CAR,MIN,10018,10019,15260878,12,Christian McCaffreyRB15260878,CAR,74.0909090909091,7.372727272727274,4.672727272727273,0.256,0.014363636363636363,2.4545454545454546,2.0,19.181818181818183,0.8181818181818182,0.2727272727272727,2.0,35.81818181818182,24.90909090909091,2.4545454545454546,2.727272727272727,1.0,76.45454545454545,7.645454545454546,4.690909090909091,0.2736363636363637,0.01654545454545455,2.727272727272727,2.0,21.09090909090909,0.45454545454545453,0.8181818181818182,1.3636363636363635,38.18181818181818,25.363636363636363,2.1818181818181817,2.727272727272727,15.090909090909092,2.4545454545454546,2.272727272727273,2.090909090909091,2.4545454545454546,2.0,0.18181818181818182,0.09090909090909091,0.0,3.1818181818181817,0.0,0.0,0.0,0.0,0.0,0.0,23.0,24.727272727272727,10019,MIN,79.8,7.420000000000002,4.7299999999999995,0.2642999999999999,0.0126,2.9,2.4,21.3,0.8,0.2,1.9,37.9,28.4,2.5,2.8,1.0,73.4,7.32,5.2700000000000005,0.27209999999999995,0.0245,3.4,0.8,20.1,1.1,0.7,1.9,29.4,29.7,1.0,3.5,14.3,2.9,2.5,2.4,2.5,2.4,0.4,0.2,0.2,10.9,0.1,0.0,0.0,0.0,0.0,0.1,27.4,26.4,10018,Christian McCaffreyRB15260878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,5.666666666666667,0.85,49.666666666666664,0.3333333333333333,2.6666666666666665,19.666666666666668,75.0,3.776666666666667,1.6666666666666667,4.666666666666667,0.0
9,QB,Teddy Bridgewater (15848235),Teddy Bridgewater,15848235,QB,6300,CAR@MIN 11/29/2020 01:00PM ET,CAR,19.47,MIN,CAR,MIN,10018,10019,15260878,12,Teddy BridgewaterQB15260878,CAR,74.0909090909091,7.372727272727274,4.672727272727273,0.256,0.014363636363636363,2.4545454545454546,2.0,19.181818181818183,0.8181818181818182,0.2727272727272727,2.0,35.81818181818182,24.90909090909091,2.4545454545454546,2.727272727272727,1.0,76.45454545454545,7.645454545454546,4.690909090909091,0.2736363636363637,0.01654545454545455,2.727272727272727,2.0,21.09090909090909,0.45454545454545453,0.8181818181818182,1.3636363636363635,38.18181818181818,25.363636363636363,2.1818181818181817,2.727272727272727,15.090909090909092,2.4545454545454546,2.272727272727273,2.090909090909091,2.4545454545454546,2.0,0.18181818181818182,0.09090909090909091,0.0,3.1818181818181817,0.0,0.0,0.0,0.0,0.0,0.0,23.0,24.727272727272727,10019,MIN,79.8,7.420000000000002,4.7299999999999995,0.2642999999999999,0.0126,2.9,2.4,21.3,0.8,0.2,1.9,37.9,28.4,2.5,2.8,1.0,73.4,7.32,5.2700000000000005,0.27209999999999995,0.0245,3.4,0.8,20.1,1.1,0.7,1.9,29.4,29.7,1.0,3.5,14.3,2.9,2.5,2.4,2.5,2.4,0.4,0.2,0.2,10.9,0.1,0.0,0.0,0.0,0.0,0.1,27.4,26.4,10018,Teddy BridgewaterQB15260878,23.8,33.0,71.82000000000001,255.2,1.3,0.7,1.9,-11.8,7.74,12.7,97.86,0.0,0.0,0.0,0.0,0.0,0.0,3.5,19.6,5.066,0.3,1.0,-11.8
