,,Week,Year,GID,Name,Pos,Team,h/a,Oppt,DK points,DK salary,Player,CALCAVGPPDOFFCmpPass,CALCAVGPPDOFFAttPass,CALCAVGPPDOFFCmp%Pass,CALCAVGPPDOFFYdsPass1,CALCAVGPPDOFFTDPass,CALCAVGPPDOFFIntPass,CALCAVGPPDOFFSkPass,CALCAVGPPDOFFYdsPass2,CALCAVGPPDOFFY/APass,CALCAVGPPDOFF1DPass,CALCAVGPPDOFFRateRec,CALCAVGPPDOFFTgtRec,CALCAVGPPDOFFRecRec,CALCAVGPPDOFFCtch%Rec,CALCAVGPPDOFFYdsRec,CALCAVGPPDOFFTDRec,CALCAVGPPDOFF1DRec,CALCAVGPPDOFFAttRush,CALCAVGPPDOFFYdsRush,CALCAVGPPDOFFY/ARush,CALCAVGPPDOFFTDRush,CALCAVGPPDOFF1DRush,CALCAVGPPDOFFSkYdsPass,OffenseUID,TmOFNS,CALCAVGPTDOFFPlaysOFNS,CALCAVGPTDOFFToGoOFNS,CALCAVGPTDOFFYdsOFNS,CALCAVGPTDOFF1st%OFNS,CALCAVGPTDOFFTO%OFNS,CALCAVGPTDOFFTDOFNS,CALCAVGPTDOFFFGOFNS,CALCAVGPTDOFFnanOFNS,CALCAVGPTDOFFIntOFNS,CALCAVGPTDOFFFmbOFNS,CALCAVGPTDOFFSkOFNS,CALCAVGPTDOFFPassOFNS,CALCAVGPTDOFFRushOFNS,CALCAVGPTDOFFFGOFNS1,CALCAVGPTDOFFPuntOFNS,CALCAVGPTDOFFGDFNS,CALCAVGPTDOFFPlaysDFNS,CALCAVGPTDOFFToGoDFNS,CALCAVGPTDOFFYdsDFNS,CALCAVGPTDOFF1st%DFNS,CALCAVGPTDOFFTO%DFNS,CALCAVGPTDOFFTDDFNS,CALCAVGPTDOFFFGDFNS,CALCAVGPTDOFFnanDFNS,CALCAVGPTDOFFIntDFNS,CALCAVGPTDOFFFmbDFNS,CALCAVGPTDOFFSkDFNS,CALCAVGPTDOFFPassDFNS,CALCAVGPTDOFFRushDFNS,CALCAVGPTDOFFFGDFNS1,CALCAVGPTDOFFPuntDFNS,CALCAVGPTDOFFRkALLSCR,CALCAVGPTDOFFTDALLSCR,CALCAVGPTDOFFXPAALLSCR,CALCAVGPTDOFFXPMALLSCR,CALCAVGPTDOFFFGAALLSCR,CALCAVGPTDOFFFGMALLSCR,CALCAVGPTDOFF2PAALLSCR,CALCAVGPTDOFF2PMALLSCR,CALCAVGPTDOFFSftyALLSCR,CALCAVGPTDOFFRkDSTSCR,CALCAVGPTDOFFKRDSTSCR,CALCAVGPTDOFFPRDSTSCR,CALCAVGPTDOFFIRDSTSCR,CALCAVGPTDOFFFRDSTSCR,CALCAVGPTDOFFORDSTSCR,CALCAVGPTDOFFRetTDDSTSCR,CALCAVGPTDOFFPtsFor,CALCAVGPTDOFFPtsAgainst,DefenseUID,Opponent,CALCAVGPTDOPPPlaysOFNS,CALCAVGPTDOPPToGoOFNS,CALCAVGPTDOPPYdsOFNS,CALCAVGPTDOPP1st%OFNS,CALCAVGPTDOPPTO%OFNS,CALCAVGPTDOPPTDOFNS,CALCAVGPTDOPPFGOFNS,CALCAVGPTDOPPnanOFNS,CALCAVGPTDOPPIntOFNS,CALCAVGPTDOPPFmbOFNS,CALCAVGPTDOPPSkOFNS,CALCAVGPTDOPPPassOFNS,CALCAVGPTDOPPRushOFNS,CALCAVGPTDOPPFGOFNS1,CALCAVGPTDOPPPuntOFNS,CALCAVGPTDOPPGDFNS,CALCAVGPTDOPPPlaysDFNS,CALCAVGPTDOPPToGoDFNS,CALCAVGPTDOPPYdsDFNS,CALCAVGPTDOPP1st%DFNS,CALCAVGPTDOPPTO%DFNS,CALCAVGPTDOPPTDDFNS,CALCAVGPTDOPPFGDFNS,CALCAVGPTDOPPnanDFNS,CALCAVGPTDOPPIntDFNS,CALCAVGPTDOPPFmbDFNS,CALCAVGPTDOPPSkDFNS,CALCAVGPTDOPPPassDFNS,CALCAVGPTDOPPRushDFNS,CALCAVGPTDOPPFGDFNS1,CALCAVGPTDOPPPuntDFNS,CALCAVGPTDOPPRkALLSCR,CALCAVGPTDOPPTDALLSCR,CALCAVGPTDOPPXPAALLSCR,CALCAVGPTDOPPXPMALLSCR,CALCAVGPTDOPPFGAALLSCR,CALCAVGPTDOPPFGMALLSCR,CALCAVGPTDOPP2PAALLSCR,CALCAVGPTDOPP2PMALLSCR,CALCAVGPTDOPPSftyALLSCR,CALCAVGPTDOPPRkDSTSCR,CALCAVGPTDOPPKRDSTSCR,CALCAVGPTDOPPPRDSTSCR,CALCAVGPTDOPPIRDSTSCR,CALCAVGPTDOPPFRDSTSCR,CALCAVGPTDOPPORDSTSCR,CALCAVGPTDOPPRetTDDSTSCR,CALCAVGPTDOPPPtsFor,CALCAVGPTDOPPPtsAgainst
0,0,2,2020,1501,Dak PrescottQB15260870,QB,dal,h,atl,43.8,6800,Dak PrescottQB15260870,25.0,39.0,64.1,266.0,1.0,0.0,3.0,-22.0,6.8,14.0,92.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,10.0,0.0,2.0,-22.0,10011,DAL,82.0,7.8,4.6,0.28,0.0,2.0,1.0,23.0,0.0,0.0,3.0,42.0,27.0,2.0,4.0,1.0,84.0,6.8,5.0,0.274,0.012,2.0,2.0,23.0,1.0,0.0,1.0,32.0,40.0,3.0,3.0,20.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,10024,ATL,73.0,7.4,5.2,0.288,0.0,5.0,1.0,21.0,0.0,0.0,3.0,38.0,20.0,1.0,4.0,1.0,91.0,7.4,5.5,0.297,0.022,3.0,2.0,27.0,1.0,1.0,2.0,56.0,20.0,2.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,25.0
1,45,2,2020,5444,Ezekiel ElliottRB15260870,RB,dal,h,atl,23.2,8200,Ezekiel ElliottRB15260870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.75,31.0,1.0,2.0,22.0,96.0,4.36,1.0,7.0,0.0,10011,DAL,82.0,7.8,4.6,0.28,0.0,2.0,1.0,23.0,0.0,0.0,3.0,42.0,27.0,2.0,4.0,1.0,84.0,6.8,5.0,0.274,0.012,2.0,2.0,23.0,1.0,0.0,1.0,32.0,40.0,3.0,3.0,20.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,10024,ATL,73.0,7.4,5.2,0.288,0.0,5.0,1.0,21.0,0.0,0.0,3.0,38.0,20.0,1.0,4.0,1.0,91.0,7.4,5.5,0.297,0.022,3.0,2.0,27.0,1.0,1.0,2.0,56.0,20.0,2.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,25.0
2,111,2,2020,5718,Tony PollardRB15260870,RB,dal,h,atl,1.9,4900,Tony PollardRB15260870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.667,22.0,0.0,1.0,2.0,10.0,5.0,0.0,0.0,0.0,10011,DAL,82.0,7.8,4.6,0.28,0.0,2.0,1.0,23.0,0.0,0.0,3.0,42.0,27.0,2.0,4.0,1.0,84.0,6.8,5.0,0.274,0.012,2.0,2.0,23.0,1.0,0.0,1.0,32.0,40.0,3.0,3.0,20.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,10024,ATL,73.0,7.4,5.2,0.288,0.0,5.0,1.0,21.0,0.0,0.0,3.0,38.0,20.0,1.0,4.0,1.0,91.0,7.4,5.5,0.297,0.022,3.0,2.0,27.0,1.0,1.0,2.0,56.0,20.0,2.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,25.0
3,163,2,2020,5831,CeeDee LambWR15260870,WR,dal,h,atl,20.5,4700,CeeDee LambWR15260870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.833,59.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10011,DAL,82.0,7.8,4.6,0.28,0.0,2.0,1.0,23.0,0.0,0.0,3.0,42.0,27.0,2.0,4.0,1.0,84.0,6.8,5.0,0.274,0.012,2.0,2.0,23.0,1.0,0.0,1.0,32.0,40.0,3.0,3.0,20.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,10024,ATL,73.0,7.4,5.2,0.288,0.0,5.0,1.0,21.0,0.0,0.0,3.0,38.0,20.0,1.0,4.0,1.0,91.0,7.4,5.5,0.297,0.022,3.0,2.0,27.0,1.0,1.0,2.0,56.0,20.0,2.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,25.0
4,167,2,2020,5376,Amari CooperWR15260870,WR,dal,h,atl,19,6300,Amari CooperWR15260870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.714,81.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10011,DAL,82.0,7.8,4.6,0.28,0.0,2.0,1.0,23.0,0.0,0.0,3.0,42.0,27.0,2.0,4.0,1.0,84.0,6.8,5.0,0.274,0.012,2.0,2.0,23.0,1.0,0.0,1.0,32.0,40.0,3.0,3.0,20.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,10024,ATL,73.0,7.4,5.2,0.288,0.0,5.0,1.0,21.0,0.0,0.0,3.0,38.0,20.0,1.0,4.0,1.0,91.0,7.4,5.5,0.297,0.022,3.0,2.0,27.0,1.0,1.0,2.0,56.0,20.0,2.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,25.0
5,216,2,2020,5634,Michael GallupWR15260870,WR,dal,h,atl,7.8,5600,Michael GallupWR15260870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.6,50.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10011,DAL,82.0,7.8,4.6,0.28,0.0,2.0,1.0,23.0,0.0,0.0,3.0,42.0,27.0,2.0,4.0,1.0,84.0,6.8,5.0,0.274,0.012,2.0,2.0,23.0,1.0,0.0,1.0,32.0,40.0,3.0,3.0,20.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,10024,ATL,73.0,7.4,5.2,0.288,0.0,5.0,1.0,21.0,0.0,0.0,3.0,38.0,20.0,1.0,4.0,1.0,91.0,7.4,5.5,0.297,0.022,3.0,2.0,27.0,1.0,1.0,2.0,56.0,20.0,2.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,25.0
6,320,2,2020,4742,Dalton SchultzTE15260870,TE,dal,h,atl,22.8,3700,Dalton SchultzTE15260870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.25,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10011,DAL,82.0,7.8,4.6,0.28,0.0,2.0,1.0,23.0,0.0,0.0,3.0,42.0,27.0,2.0,4.0,1.0,84.0,6.8,5.0,0.274,0.012,2.0,2.0,23.0,1.0,0.0,1.0,32.0,40.0,3.0,3.0,20.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,10024,ATL,73.0,7.4,5.2,0.288,0.0,5.0,1.0,21.0,0.0,0.0,3.0,38.0,20.0,1.0,4.0,1.0,91.0,7.4,5.5,0.297,0.022,3.0,2.0,27.0,1.0,1.0,2.0,56.0,20.0,2.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,25.0
7,1,2,2020,1378,Cam NewtonQB15260865,QB,nwe,a,sea,38.58,6400,Cam NewtonQB15260865,15.0,19.0,78.9,155.0,0.0,0.0,2.0,-15.0,8.2,8.0,100.7,0.0,0.0,0.0,0.0,0.0,0.0,15.0,75.0,5.0,2.0,8.0,-15.0,10006,NWE,74.0,7.4,4.8,0.351,0.014,3.0,0.0,26.0,0.0,1.0,2.0,21.0,42.0,1.0,4.0,1.0,67.0,7.2,4.0,0.254,0.045,1.0,1.0,17.0,3.0,0.0,1.0,31.0,27.0,1.0,3.0,15.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,10021,SEA,91.0,7.4,5.5,0.297,0.022,3.0,2.0,27.0,1.0,1.0,2.0,56.0,20.0,2.0,3.0,1.0,73.0,7.4,5.2,0.288,0.0,5.0,1.0,21.0,0.0,0.0,3.0,38.0,20.0,1.0,4.0,8.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,38.0
8,72,2,2020,2890,Rex BurkheadRB15260865,RB,nwe,a,sea,8.9,4100,Rex BurkheadRB15260865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,32.0,4.57,0.0,2.0,0.0,10006,NWE,74.0,7.4,4.8,0.351,0.014,3.0,0.0,26.0,0.0,1.0,2.0,21.0,42.0,1.0,4.0,1.0,67.0,7.2,4.0,0.254,0.045,1.0,1.0,17.0,3.0,0.0,1.0,31.0,27.0,1.0,3.0,15.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,10021,SEA,91.0,7.4,5.5,0.297,0.022,3.0,2.0,27.0,1.0,1.0,2.0,56.0,20.0,2.0,3.0,1.0,73.0,7.4,5.2,0.288,0.0,5.0,1.0,21.0,0.0,0.0,3.0,38.0,20.0,1.0,4.0,8.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,38.0
9,112,2,2020,5615,Sony MichelRB15260865,RB,nwe,a,sea,1.9,4300,Sony MichelRB15260865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,37.0,3.7,1.0,4.0,0.0,10006,NWE,74.0,7.4,4.8,0.351,0.014,3.0,0.0,26.0,0.0,1.0,2.0,21.0,42.0,1.0,4.0,1.0,67.0,7.2,4.0,0.254,0.045,1.0,1.0,17.0,3.0,0.0,1.0,31.0,27.0,1.0,3.0,15.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,10021,SEA,91.0,7.4,5.5,0.297,0.022,3.0,2.0,27.0,1.0,1.0,2.0,56.0,20.0,2.0,3.0,1.0,73.0,7.4,5.2,0.288,0.0,5.0,1.0,21.0,0.0,0.0,3.0,38.0,20.0,1.0,4.0,8.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,38.0
