Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Derrick Henry (15961305),Derrick Henry,15961305,RB/FLEX,9500,DET@TEN 12/20/2020 01:00PM ET,TEN,22.16
WR,Davante Adams (15961629),Davante Adams,15961629,WR/FLEX,9400,CAR@GB 12/19/2020 08:15PM ET,GB,27.86
RB,Dalvin Cook (15961307),Dalvin Cook,15961307,RB/FLEX,9000,CHI@MIN 12/20/2020 01:00PM ET,MIN,26.53
RB,Christian McCaffrey (15961309),Christian McCaffrey,15961309,RB/FLEX,9000,CAR@GB 12/19/2020 08:15PM ET,CAR,30.13
WR,Tyreek Hill (15961631),Tyreek Hill,15961631,WR/FLEX,8800,KC@NO 12/20/2020 04:25PM ET,KC,23.85
WR,DK Metcalf (15961633),DK Metcalf,15961633,WR/FLEX,8600,SEA@WAS 12/20/2020 01:00PM ET,SEA,20.08
WR,Calvin Ridley (15961635),Calvin Ridley,15961635,WR/FLEX,8200,TB@ATL 12/20/2020 01:00PM ET,ATL,19.94
TE,Travis Kelce (15962087),Travis Kelce,15962087,TE/FLEX,8000,KC@NO 12/20/2020 04:25PM ET,KC,22.01
QB,Patrick Mahomes (15961217),Patrick Mahomes,15961217,QB,7900,KC@NO 12/20/2020 04:25PM ET,KC,27.87
WR,Stefon Diggs (15961637),Stefon Diggs,15961637,WR/FLEX,7900,BUF@DEN 12/19/2020 04:30PM ET,BUF,20.14
WR,DeAndre Hopkins (15961639),DeAndre Hopkins,15961639,WR/FLEX,7900,PHI@ARI 12/20/2020 04:05PM ET,ARI,19.73
WR,Keenan Allen (15961641),Keenan Allen,15961641,WR/FLEX,7800,LAC@LV 12/17/2020 08:20PM ET,LAC,19.73
QB,Aaron Rodgers (15961218),Aaron Rodgers,15961218,QB,7800,CAR@GB 12/19/2020 08:15PM ET,GB,25.75
RB,Nick Chubb (15961311),Nick Chubb,15961311,RB/FLEX,7700,CLE@NYG 12/20/2020 08:20PM ET,CLE,19.41
WR,A.J. Brown (15961643),A.J. Brown,15961643,WR/FLEX,7600,DET@TEN 12/20/2020 01:00PM ET,TEN,18.43
RB,Austin Ekeler (15961313),Austin Ekeler,15961313,RB/FLEX,7500,LAC@LV 12/17/2020 08:20PM ET,LAC,17.21
QB,Lamar Jackson (15961219),Lamar Jackson,15961219,QB,7500,JAX@BAL 12/20/2020 01:00PM ET,BAL,22.84
RB,Alvin Kamara (15961315),Alvin Kamara,15961315,RB/FLEX,7400,KC@NO 12/20/2020 04:25PM ET,NO,23.55
WR,Allen Robinson II (15961645),Allen Robinson II,15961645,WR/FLEX,7400,CHI@MIN 12/20/2020 01:00PM ET,CHI,17.97
QB,Russell Wilson (15961220),Russell Wilson,15961220,QB,7300,SEA@WAS 12/20/2020 01:00PM ET,SEA,26.21
WR,Justin Jefferson (15961647),Justin Jefferson,15961647,WR/FLEX,7300,CHI@MIN 12/20/2020 01:00PM ET,MIN,18
RB,Aaron Jones (15961317),Aaron Jones,15961317,RB/FLEX,7300,CAR@GB 12/19/2020 08:15PM ET,GB,18.98
WR,Michael Thomas (15961649),Michael Thomas,15961649,WR/FLEX,7200,KC@NO 12/20/2020 04:25PM ET,NO,12.84
QB,Josh Allen (15961221),Josh Allen,15961221,QB,7200,BUF@DEN 12/19/2020 04:30PM ET,BUF,26.14
RB,Jonathan Taylor (15961319),Jonathan Taylor,15961319,RB/FLEX,7200,HOU@IND 12/20/2020 01:00PM ET,IND,15.21
WR,Adam Thielen (15961651),Adam Thielen,15961651,WR/FLEX,7100,CHI@MIN 12/20/2020 01:00PM ET,MIN,18.38
RB,James Robinson (15961321),James Robinson,15961321,RB/FLEX,7100,JAX@BAL 12/20/2020 01:00PM ET,JAX,19.16
RB,David Montgomery (15961323),David Montgomery,15961323,RB/FLEX,7000,CHI@MIN 12/20/2020 01:00PM ET,CHI,16.19
WR,Cooper Kupp (15961653),Cooper Kupp,15961653,WR/FLEX,7000,NYJ@LAR 12/20/2020 04:05PM ET,LAR,15.02
QB,Kyler Murray (15961222),Kyler Murray,15961222,QB,7000,PHI@ARI 12/20/2020 04:05PM ET,ARI,26.80
WR,Julio Jones (15961655),Julio Jones,15961655,WR/FLEX,6900,TB@ATL 12/20/2020 01:00PM ET,ATL,17.23
QB,Justin Herbert (15961223),Justin Herbert,15961223,QB,6900,LAC@LV 12/17/2020 08:20PM ET,LAC,23.68
TE,Darren Waller (15962089),Darren Waller,15962089,TE/FLEX,6900,LAC@LV 12/17/2020 08:20PM ET,LV,16.36
RB,Miles Sanders (15961325),Miles Sanders,15961325,RB/FLEX,6900,PHI@ARI 12/20/2020 04:05PM ET,PHI,15
