"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Buffalo Bills","","2.8","1.0","0.6","1.0","0.2","0.0","17.1","292.5","7.9"
"Kansas City Chiefs","","2.3","1.0","0.5","0.8","0.2","0.0","19.0","335.0","7.6"
"Los Angeles Rams","","2.5","0.9","0.5","0.7","0.2","0.1","18.9","323.0","7.4"
"Los Angeles Chargers","","2.7","0.8","0.5","0.7","0.2","0.0","19.6","339.7","7.2"
"Cleveland Browns","","3.1","0.9","0.7","1.2","0.1","0.0","24.3","350.5","7.1"
"New York Giants","","3.0","0.9","0.7","0.9","0.1","0.0","24.5","331.5","7.1"
"Philadelphia Eagles","","2.9","0.9","0.7","0.9","0.2","0.0","20.1","304.9","6.9"
"Green Bay Packers","","3.2","0.9","0.5","0.6","0.1","0.0","24.9","365.3","6.9"
"New England Patriots","","2.6","1.0","0.6","0.9","0.2","0.0","20.0","359.0","6.8"
"Pittsburgh Steelers","","3.1","0.8","0.6","0.8","0.1","0.0","24.8","356.8","6.7"
"Washington Football Team","","2.4","1.0","0.6","1.1","0.1","0.0","23.6","365.6","6.6"
"New Orleans Saints","","2.7","0.8","0.6","0.9","0.2","0.0","22.1","351.9","6.5"
"Dallas Cowboys","","3.0","0.7","0.6","0.9","0.1","0.0","22.0","313.6","6.5"
"Tampa Bay Buccaneers","","2.4","0.7","0.8","1.2","0.2","0.0","24.0","343.9","6.3"
"Arizona Cardinals","","3.0","0.6","0.6","0.9","0.1","0.1","25.9","379.3","6.3"
"San Francisco 49ers","","2.4","0.9","0.6","1.0","0.1","0.0","22.5","338.8","6.3"
"Seattle Seahawks","","2.3","1.0","0.6","0.9","0.1","0.0","24.3","374.9","6.3"
"Cincinnati Bengals","","2.4","1.0","0.4","0.6","0.1","0.0","23.8","353.1","6.2"
"New York Jets","","2.4","0.8","0.6","0.8","0.1","0.0","26.1","378.6","6.0"
"Detroit Lions","","2.2","0.8","0.5","0.8","0.1","0.0","26.9","402.3","5.7"
"Tennessee Titans","","2.1","0.8","0.6","0.8","0.1","0.0","23.7","363.3","5.7"
"Jacksonville Jaguars","","2.2","0.7","0.5","0.8","0.1","0.0","26.8","388.8","5.6"
"Atlanta Falcons","","2.4","0.8","0.5","0.7","0.1","0.0","24.9","373.6","5.6"
"Chicago Bears","","1.8","0.8","0.5","0.8","0.1","0.0","22.4","363.2","5.3"
"Las Vegas Raiders","","1.8","0.8","0.5","0.7","0.1","0.0","25.9","370.2","5.1"
"Houston Texans","","2.1","0.5","0.5","0.8","0.1","0.0","26.6","380.5","4.8"
"Carolina Panthers","","1.6","0.6","0.5","0.7","0.1","0.0","28.6","376.6","4.7"
"Denver Broncos","","1.8","0.6","0.5","0.7","0.1","0.0","25.6","387.6","4.6"
""
""
