"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Alvin Kamara","NO","RB1","13.2","64.9","0.8","6.0","49.9","0.3","0.1","17.4"
"Aaron Jones","GB","RB2","15.1","76.6","0.9","3.8","31.5","0.2","0.1","17.2"
"Kareem Hunt","CLE","RB3","17.5","83.0","0.7","3.2","27.3","0.2","0.1","16.7"
"Derrick Henry","TEN","RB4","20.3","93.0","0.9","1.9","15.5","0.0","0.1","16.5"
"Ezekiel Elliott","DAL","RB5","19.5","82.9","0.7","3.7","27.7","0.1","0.2","15.7"
"Joe Mixon","CIN","RB6","18.7","78.4","0.7","3.3","25.6","0.1","0.1","14.9"
"Mike Davis","CAR","RB7","16.2","65.7","0.6","4.6","33.3","0.2","0.1","14.6"
"Davante Adams","GB","WR1","0.0","0.0","0.0","7.6","93.5","0.8","0.0","14.0"
"James Conner","PIT","RB8","15.8","69.5","0.7","3.0","22.1","0.1","0.1","13.9"
"Chris Carson","SEA","RB9","15.6","69.5","0.6","3.4","24.8","0.2","0.1","13.7"
"Josh Jacobs","LV","RB10","18.8","73.6","0.7","2.5","19.1","0.1","0.1","13.2"
"DeAndre Hopkins","ARI","WR2","0.0","0.2","0.0","7.8","96.1","0.6","0.1","13.2"
"Todd Gurley II","ATL","RB11","15.2","64.1","0.8","2.3","17.7","0.1","0.1","13.1"
"David Johnson","HOU","RB12","15.7","62.1","0.6","2.7","24.7","0.1","0.1","12.6"
"Ronald Jones II","TB","RB13","15.2","68.1","0.6","2.4","19.3","0.1","0.1","12.6"
"James Robinson","JAC","RB14","15.2","64.5","0.5","3.1","25.4","0.1","0.1","12.5"
"D.K. Metcalf","SEA","WR3","0.0","0.3","0.0","4.8","83.2","0.7","0.1","12.4"
"Calvin Ridley","ATL","WR4","0.4","2.4","0.0","5.8","80.7","0.7","0.0","12.4"
"Stefon Diggs","BUF","WR5","0.3","1.5","0.0","6.3","87.2","0.6","0.0","12.4"
"Clyde Edwards-Helaire","KC","RB15","13.5","61.3","0.5","2.9","25.4","0.1","0.1","12.1"
"Kenny Golladay","DET","WR6","0.0","0.2","0.0","5.3","81.4","0.7","0.0","12.0"
"Tyreek Hill","KC","WR7","1.0","6.1","0.1","5.1","76.0","0.6","0.0","11.8"
"Jerick McKinnon","SF","RB16","12.8","59.0","0.5","3.4","26.4","0.1","0.1","11.7"
"David Montgomery","CHI","RB17","15.9","61.4","0.5","2.7","21.2","0.1","0.1","11.7"
"Julio Jones","ATL","WR8","0.1","0.3","0.0","5.9","85.0","0.5","0.0","11.6"
"Antonio Gibson","WAS","RB18","13.9","53.8","0.6","2.9","23.3","0.1","0.1","11.5"
"Michael Thomas","NO","WR9","0.0","0.0","0.0","7.0","81.1","0.6","0.0","11.5"
"Kenyan Drake","ARI","RB19","14.0","62.8","0.6","1.7","12.4","0.1","0.1","11.4"
"Terry McLaurin","WAS","WR10","0.1","0.6","0.0","5.6","80.8","0.5","0.0","11.2"
"Tyler Lockett","SEA","WR11","0.3","1.3","0.0","5.6","75.9","0.6","0.0","11.2"
"Will Fuller V","HOU","WR12","0.1","0.5","0.0","5.1","76.1","0.6","0.0","11.2"
"Devin Singletary","BUF","RB20","12.9","60.1","0.4","2.7","21.4","0.1","0.1","11.1"
"Chris Godwin","TB","WR13","0.0","0.2","0.0","5.4","74.5","0.6","0.0","10.9"
"Travis Kelce","KC","TE1","0.0","0.0","0.0","6.1","75.1","0.6","0.0","10.9"
"Robby Anderson","CAR","WR14","0.2","1.1","0.0","5.6","78.2","0.5","0.1","10.8"
"Mike Evans","TB","WR15","0.0","0.0","0.0","4.7","69.8","0.6","0.0","10.7"
"Devonta Freeman","NYG","RB21","14.4","55.4","0.5","2.6","20.3","0.1","0.1","10.6"
"A.J. Brown","TEN","WR16","0.1","1.6","0.0","4.3","70.6","0.5","0.0","10.5"
"Keenan Allen","LAC","WR17","0.2","1.1","0.0","6.2","73.0","0.5","0.0","10.4"
"Melvin Gordon III","DEN","RB22","13.8","58.3","0.4","2.6","19.2","0.1","0.1","10.3"
"Darrell Henderson","LAR","RB23","13.8","66.2","0.3","1.6","15.2","0.0","0.0","10.3"
"Allen Robinson II","CHI","WR18","0.1","0.5","0.0","6.3","75.4","0.5","0.0","10.3"
"Odell Beckham Jr.","CLE","WR19","0.5","3.7","0.0","4.7","66.9","0.5","0.0","10.2"
"Amari Cooper","DAL","WR20","0.2","0.9","0.0","5.5","72.5","0.5","0.0","10.2"
"Robert Woods","LAR","WR21","1.3","7.7","0.1","5.4","68.1","0.4","0.0","10.2"
"Cooper Kupp","LAR","WR22","0.3","1.7","0.0","5.4","68.0","0.5","0.0","10.0"
"Tyler Boyd","CIN","WR23","0.3","2.0","0.0","5.8","70.1","0.4","0.1","9.8"
"Chase Claypool","PIT","WR24","1.0","5.4","0.1","4.4","60.2","0.5","0.0","9.7"
"Jamison Crowder","NYJ","WR25","0.1","0.6","0.0","5.9","67.5","0.5","0.1","9.6"
"Tee Higgins","CIN","WR26","0.2","1.6","0.0","4.6","64.4","0.5","0.0","9.5"
"Justin Jackson","LAC","RB24","12.8","58.1","0.2","2.6","20.2","0.1","0.0","9.5"
"George Kittle","SF","TE2","0.0","0.0","0.0","5.8","74.6","0.3","0.0","9.5"
"D'Andre Swift","DET","RB25","9.1","37.2","0.3","3.5","31.0","0.2","0.1","9.4"
"Darren Waller","LV","TE3","0.0","0.0","0.0","6.1","67.1","0.5","0.1","9.3"
"D.J. Chark Jr.","JAC","WR27","0.0","0.3","0.0","5.1","62.5","0.5","0.0","9.2"
"CeeDee Lamb","DAL","WR28","0.4","2.5","0.0","4.8","61.9","0.4","0.0","9.1"
"Boston Scott","PHI","RB26","11.8","47.8","0.3","3.0","23.3","0.0","0.1","9.1"
"Adrian Peterson","DET","RB27","13.5","54.3","0.5","1.1","8.2","0.0","0.1","9.0"
"Deebo Samuel","SF","WR29","1.0","7.4","0.1","4.4","56.6","0.4","0.0","9.0"
"D.J. Moore","CAR","WR30","0.3","2.6","0.0","5.4","75.8","0.2","0.1","9.0"
"Brandin Cooks","HOU","WR31","0.2","1.5","0.0","4.7","61.8","0.4","0.0","8.8"
"Travis Fulgham","PHI","WR32","0.1","0.5","0.0","4.5","59.6","0.5","0.0","8.7"
"Damien Harris","NE","RB28","12.3","53.1","0.4","1.1","7.1","0.0","0.1","8.5"
"Phillip Lindsay","DEN","RB29","11.7","51.6","0.3","1.7","11.6","0.0","0.0","8.4"
"Darius Slayton","NYG","WR33","0.2","0.7","0.0","4.0","61.1","0.4","0.0","8.4"
"Hunter Henry","LAC","TE4","0.0","0.0","0.0","4.6","56.6","0.5","0.0","8.4"
"Julian Edelman","NE","WR34","0.4","3.1","0.0","4.8","58.4","0.4","0.0","8.2"
"Mike Williams","LAC","WR35","0.1","0.5","0.0","3.6","58.7","0.4","0.0","8.1"
"John Brown","BUF","WR36","0.1","0.3","0.0","3.9","54.0","0.4","0.0","8.1"
"Christian Kirk","ARI","WR37","0.3","2.2","0.0","4.5","53.6","0.4","0.0","7.8"
"Tim Patrick","DEN","WR38","0.1","0.4","0.0","4.1","56.4","0.3","0.0","7.7"
"Diontae Johnson","PIT","WR39","0.2","1.6","0.0","4.2","50.4","0.4","0.1","7.3"
"Laviska Shenault Jr.","JAC","WR40","1.1","6.1","0.0","4.4","53.8","0.2","0.0","7.2"
"Jarvis Landry","CLE","WR41","0.1","0.5","0.0","4.6","59.4","0.2","0.0","7.2"
