"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Russell Wilson","SEA","34.5","23.9","290.3","2.5","0.5","4.7","25.5","0.1","0.1","23.5"
"Kyler Murray","ARI","36.7","24.6","261.3","1.7","0.9","7.5","45.4","0.5","0.1","22.8"
"Josh Allen","BUF","35.1","21.9","266.4","1.9","0.8","6.4","33.3","0.4","0.3","22.2"
"Patrick Mahomes II","KC","36.6","24.0","288.0","2.0","0.5","4.8","23.7","0.2","0.1","21.9"
"Deshaun Watson","HOU","35.0","23.1","277.1","1.9","0.8","4.5","26.1","0.3","0.1","20.8"
"Aaron Rodgers","GB","37.9","24.7","281.9","2.1","0.4","2.4","11.4","0.1","0.1","20.2"
"Cam Newton","NE","30.8","19.5","214.6","1.2","0.7","10.0","45.5","0.6","0.1","19.6"
"Justin Herbert","LAC","34.1","23.0","270.8","1.9","0.8","3.8","17.6","0.2","0.2","19.4"
"Matthew Stafford","DET","35.7","23.4","284.7","2.1","0.6","3.0","9.4","0.1","0.2","19.4"
"Matt Ryan","ATL","38.3","24.8","301.9","2.0","0.8","1.9","6.3","0.1","0.2","19.3"
"Tom Brady","TB","36.5","23.7","277.9","2.1","0.5","1.5","2.5","0.1","0.1","18.9"
"Joe Burrow","CIN","37.4","24.1","266.4","1.7","0.9","3.2","15.7","0.2","0.3","17.7"
"Carson Wentz","PHI","35.5","22.6","253.6","1.7","0.9","4.1","17.9","0.2","0.3","17.7"
"Drew Brees","NO","34.5","24.9","274.4","1.8","0.5","0.8","1.3","0.1","0.1","17.6"
"Ryan Tannehill","TEN","30.1","20.2","250.7","1.8","0.8","3.4","15.0","0.1","0.2","17.6"
"Ben Roethlisberger","PIT","37.0","24.6","272.4","1.9","0.8","1.8","4.4","0.1","0.1","17.5"
"Andy Dalton","DAL","36.6","22.7","265.3","1.6","0.9","2.1","7.7","0.1","0.2","16.4"
"Gardner Minshew II","JAC","37.2","24.1","259.7","1.4","0.7","3.9","19.3","0.1","0.4","16.3"
"Teddy Bridgewater","CAR","35.6","24.1","267.8","1.4","0.9","3.6","12.6","0.1","0.1","16.3"
"Derek Carr","LV","34.7","24.0","267.7","1.6","0.7","1.8","5.0","0.1","0.3","16.1"
"Jared Goff","LAR","33.9","21.6","258.2","1.5","0.9","2.9","8.0","0.1","0.2","16.0"
"Baker Mayfield","CLE","32.5","19.7","237.8","1.8","1.0","2.0","8.2","0.1","0.1","15.5"
"Daniel Jones","NYG","32.9","21.1","227.1","1.4","1.0","4.6","25.0","0.1","0.5","14.8"
"Kyle Allen","WAS","33.6","21.9","237.9","1.4","0.9","1.9","9.4","0.1","0.3","14.4"
"Jimmy Garoppolo","SF","32.6","21.6","254.6","1.4","1.0","1.8","4.3","0.1","0.2","14.4"
"Nick Foles","CHI","35.2","22.6","244.4","1.3","0.9","2.1","4.3","0.1","0.2","13.7"
"Sam Darnold","NYJ","33.6","20.4","218.9","1.2","1.0","3.1","13.5","0.2","0.2","13.6"
"Drew Lock","DEN","33.3","20.3","226.2","1.1","0.9","2.8","11.3","0.1","0.3","12.7"
"Joe Flacco","NYJ","22.3","14.2","171.6","0.9","0.7","1.8","3.6","0.0","0.1","9.5"
"Ben DiNucci","DAL","0.0","0.0","26.6","0.1","0.1","0.0","6.8","0.0","0.0","2.1"
"C.J. Beathard","SF","8.1","4.7","51.7","0.2","0.4","0.2","0.7","0.0","0.2","1.9"
"Brett Rypien","DEN","11.8","6.7","52.9","0.1","0.4","1.3","1.9","0.0","0.1","1.8"
"Nick Mullens","SF","10.2","7.1","47.1","0.1","0.4","0.0","0.0","0.0","0.0","1.5"
"Jalen Hurts","PHI","2.7","1.6","15.9","0.0","0.1","1.5","6.6","0.1","0.1","1.5"
"Taysom Hill","NO","0.7","0.5","10.3","0.0","0.0","0.1","5.6","0.1","0.1","1.4"
"Jarrett Stidham","NE","8.4","4.7","34.9","0.0","0.2","1.1","1.5","0.0","0.0","1.3"
"Alex Smith","WAS","4.9","2.8","27.5","0.1","0.1","8.9","0.8","0.0","0.1","1.1"
"David Blough","DET","1.4","0.9","11.2","0.1","0.0","0.3","1.1","0.0","0.0","1.0"
"Mitchell Trubisky","CHI","1.5","0.9","18.5","0.1","0.1","0.2","0.5","0.0","0.0","1.0"
"Matt Schaub","ATL","1.7","1.1","13.3","0.1","0.0","0.2","0.2","0.0","0.0","1.0"
