"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Alvin Kamara","NO","13.2","64.9","0.8","6.0","49.9","0.3","0.1","17.4"
"Aaron Jones","GB","15.1","76.6","0.9","3.8","31.5","0.2","0.1","17.2"
"Kareem Hunt","CLE","17.5","83.0","0.7","3.2","27.3","0.2","0.1","16.7"
"Derrick Henry","TEN","20.3","93.0","0.9","1.9","15.5","0.0","0.1","16.5"
"Ezekiel Elliott","DAL","19.5","82.9","0.7","3.7","27.7","0.1","0.2","15.7"
"Joe Mixon","CIN","18.7","78.4","0.7","3.3","25.6","0.1","0.1","14.9"
"Mike Davis","CAR","16.2","65.7","0.6","4.6","33.3","0.2","0.1","14.6"
"James Conner","PIT","15.8","69.5","0.7","3.0","22.1","0.1","0.1","13.9"
"Chris Carson","SEA","15.6","69.5","0.6","3.4","24.8","0.2","0.1","13.7"
"Josh Jacobs","LV","18.8","73.6","0.7","2.5","19.1","0.1","0.1","13.2"
"Todd Gurley II","ATL","15.2","64.1","0.8","2.3","17.7","0.1","0.1","13.1"
"David Johnson","HOU","15.7","62.1","0.6","2.7","24.7","0.1","0.1","12.6"
"Ronald Jones II","TB","15.2","68.1","0.6","2.4","19.3","0.1","0.1","12.6"
"James Robinson","JAC","15.2","64.5","0.5","3.1","25.4","0.1","0.1","12.5"
"Clyde Edwards-Helaire","KC","13.5","61.3","0.5","2.9","25.4","0.1","0.1","12.1"
"Jerick McKinnon","SF","12.8","59.0","0.5","3.4","26.4","0.1","0.1","11.7"
"David Montgomery","CHI","15.9","61.4","0.5","2.7","21.2","0.1","0.1","11.7"
"Antonio Gibson","WAS","13.9","53.8","0.6","2.9","23.3","0.1","0.1","11.5"
"Kenyan Drake","ARI","14.0","62.8","0.6","1.7","12.4","0.1","0.1","11.4"
"Devin Singletary","BUF","12.9","60.1","0.4","2.7","21.4","0.1","0.1","11.1"
"Devonta Freeman","NYG","14.4","55.4","0.5","2.6","20.3","0.1","0.1","10.6"
"Melvin Gordon III","DEN","13.8","58.3","0.4","2.6","19.2","0.1","0.1","10.3"
"Darrell Henderson","LAR","13.8","66.2","0.3","1.6","15.2","0.0","0.0","10.3"
"Justin Jackson","LAC","12.8","58.1","0.2","2.6","20.2","0.1","0.0","9.5"
"D'Andre Swift","DET","9.1","37.2","0.3","3.5","31.0","0.2","0.1","9.4"
"Boston Scott","PHI","11.8","47.8","0.3","3.0","23.3","0.0","0.1","9.1"
"Adrian Peterson","DET","13.5","54.3","0.5","1.1","8.2","0.0","0.1","9.0"
"Damien Harris","NE","12.3","53.1","0.4","1.1","7.1","0.0","0.1","8.5"
"Phillip Lindsay","DEN","11.7","51.6","0.3","1.7","11.6","0.0","0.0","8.4"
"Joshua Kelley","LAC","11.3","45.9","0.3","1.4","10.0","0.0","0.1","7.1"
"Latavius Murray","NO","9.8","41.0","0.3","1.5","10.7","0.0","0.0","6.9"
"James White","NE","4.0","15.8","0.1","4.8","37.9","0.2","0.0","6.8"
"Frank Gore","NYJ","11.2","44.9","0.1","1.3","8.6","0.0","0.0","6.1"
"Chase Edmonds","ARI","5.0","21.6","0.2","3.0","23.1","0.1","0.0","6.0"
"J.D. McKissic","WAS","4.4","21.1","0.1","3.5","28.2","0.1","0.1","5.9"
"Le'Veon Bell","KC","8.4","30.1","0.1","2.4","17.4","0.1","0.1","5.8"
"Jamaal Williams","GB","7.1","27.3","0.1","2.5","19.0","0.1","0.0","5.6"
"Rex Burkhead","NE","6.5","24.6","0.2","1.9","16.1","0.0","0.1","5.2"
"Lamical Perine","NYJ","8.7","33.8","0.1","1.6","10.5","0.0","0.1","5.2"
"Zack Moss","BUF","8.1","31.3","0.2","1.3","9.0","0.0","0.1","5.1"
"Brian Hill","ATL","6.6","30.1","0.1","1.4","10.2","0.0","0.1","4.8"
"Duke Johnson Jr.","HOU","4.3","19.7","0.1","2.2","19.7","0.1","0.1","4.6"
"Leonard Fournette","TB","7.3","25.9","0.2","1.3","9.2","0.0","0.0","4.6"
"D'Ernest Johnson","CLE","7.0","29.6","0.1","1.0","6.7","0.0","0.1","4.3"
"Malcolm Brown","LAR","5.3","23.4","0.1","1.3","9.9","0.0","0.0","4.2"
"Cordarrelle Patterson","CHI","3.8","17.5","0.1","1.7","15.8","0.1","0.0","4.1"
