"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.1","75.1","0.6","0.0","10.9"
"George Kittle","SF","5.8","74.6","0.3","0.0","9.5"
"Darren Waller","LV","6.1","67.1","0.5","0.1","9.3"
"Hunter Henry","LAC","4.6","56.6","0.5","0.0","8.4"
"Robert Tonyan","GB","3.5","41.5","0.5","0.0","7.1"
"Evan Engram","NYG","4.4","47.2","0.3","0.0","6.8"
"Austin Hooper","CLE","4.1","44.1","0.4","0.0","6.7"
"T.J. Hockenson","DET","3.8","43.3","0.4","0.0","6.5"
"Rob Gronkowski","TB","3.6","47.9","0.2","0.0","6.1"
"Jared Cook","NO","3.5","45.0","0.2","0.0","6.0"
"Eric Ebron","PIT","4.0","44.1","0.2","0.0","5.6"
"Hayden Hurst","ATL","3.4","40.0","0.2","0.0","5.4"
"Noah Fant","DEN","3.4","42.3","0.2","0.0","5.4"
"Jimmy Graham","CHI","3.9","40.3","0.2","0.0","5.2"
"Tyler Higbee","LAR","3.4","38.9","0.2","0.0","5.0"
"Jonnu Smith","TEN","2.7","32.5","0.2","0.0","4.7"
"Dalton Schultz","DAL","3.4","38.2","0.2","0.1","4.7"
"Anthony Firkser","TEN","2.9","34.8","0.1","0.0","4.3"
"Logan Thomas","WAS","3.1","30.9","0.2","0.0","4.3"
"Darren Fells","HOU","2.8","30.9","0.2","0.0","4.2"
"Greg Olsen","SEA","2.8","31.2","0.2","0.0","4.2"
"Tyler Eifert","JAC","2.7","28.2","0.2","0.0","3.8"
"Richard Rodgers","PHI","2.6","26.4","0.1","0.0","3.3"
"Dallas Goedert","PHI","2.0","19.8","0.2","0.0","3.2"
"Jordan Akins","HOU","2.0","22.1","0.1","0.0","3.1"
"Drew Sample","CIN","2.5","24.1","0.1","0.0","3.0"
"David Njoku","CLE","1.6","21.0","0.1","0.0","3.0"
"Dawson Knox","BUF","1.8","22.9","0.1","0.0","3.0"
"Gerald Everett","LAR","2.1","23.9","0.1","0.0","2.8"
"Jordan Reed","SF","1.7","16.0","0.2","0.0","2.8"
"Dan Arnold","ARI","1.8","21.4","0.1","0.0","2.7"
"Ian Thomas","CAR","2.2","19.4","0.1","0.0","2.7"
"James O'Shaughnessy","JAC","2.1","19.8","0.1","0.0","2.6"
"Cameron Brate","TB","1.6","17.0","0.1","0.0","2.5"
"Levine Toilolo","NYG","1.5","19.0","0.1","0.0","2.5"
"Lee Smith","BUF","0.7","6.0","0.3","0.0","2.4"
"Ryan Izzo","NE","1.6","18.4","0.1","0.0","2.4"
"Kaden Smith","NYG","1.9","17.4","0.1","0.0","2.4"
"Tanner Hudson","TB","1.9","20.5","0.1","0.0","2.3"
"Chris Herndon IV","NYJ","1.9","19.7","0.1","0.0","2.3"
"Ryan Griffin","NYJ","1.7","16.2","0.1","0.0","2.2"
"Will Dissly","SEA","1.4","15.3","0.1","0.0","2.2"
"Jesse James","DET","1.4","15.3","0.1","0.0","2.2"
"Tyler Kroft","BUF","1.6","15.5","0.1","0.0","2.1"
"Harrison Bryant","CLE","1.4","14.6","0.1","0.0","2.1"
"Marcedes Lewis","GB","1.1","11.6","0.2","0.0","2.1"
"Vance McDonald","PIT","1.7","16.5","0.1","0.0","2.0"
"Albert Okwuegbunam","DEN","1.4","14.9","0.1","0.0","2.0"
"Jason Croom","PHI","1.5","16.2","0.1","0.1","2.0"
"Jordan Thomas","ARI","0.7","7.1","0.2","0.0","1.9"
"Jaeden Graham","ATL","0.8","11.6","0.1","0.0","1.8"
"Cole Kmet","CHI","1.3","13.1","0.1","0.0","1.7"
"Foster Moreau","LV","1.3","14.2","0.1","0.0","1.7"
"Jace Sternberger","GB","1.3","14.0","0.1","0.0","1.7"
"MyCole Pruitt","TEN","1.0","10.5","0.1","0.0","1.6"
"Demetrius Harris","CHI","1.2","11.5","0.1","0.0","1.6"
"Jason Witten","LV","1.3","11.1","0.1","0.0","1.6"
"Maxx Williams","ARI","0.8","9.5","0.1","0.0","1.6"
"Donald Parham Jr.","LAC","0.8","9.4","0.1","0.0","1.5"
"Hakeem Butler","PHI","1.0","10.3","0.1","0.0","1.5"
"Geoff Swaim","TEN","1.3","11.7","0.0","0.0","1.4"
"Chris Manhertz","CAR","0.9","10.2","0.1","0.0","1.4"
"Kahale Warring","HOU","0.7","7.8","0.1","0.0","1.4"
"Luke Stocker","ATL","0.8","7.6","0.1","0.0","1.4"
"Darrell Daniels","ARI","1.1","11.4","0.0","0.0","1.4"
"Ricky Seals-Jones","KC","0.8","9.0","0.1","0.0","1.4"
"Pharaoh Brown","HOU","1.1","11.2","0.0","0.0","1.3"
"Josh Hill","NO","1.1","9.9","0.1","0.0","1.3"
"Nick Vannett","DEN","1.3","11.4","0.0","0.0","1.3"
"Evan Baylis","ARI","0.7","6.8","0.1","0.0","1.3"
"Luke Willson","SEA","0.7","6.8","0.1","0.0","1.3"
"Brycen Hopkins","LAR","0.6","6.8","0.1","0.0","1.3"
"Virgil Green","LAC","0.8","8.9","0.1","0.0","1.3"
"Zach Gentry","PIT","0.8","6.7","0.1","0.0","1.3"
"Antony Auclair","TB","0.7","6.7","0.1","0.0","1.3"
"Temarrick Hemingway","WAS","0.6","6.7","0.1","0.0","1.3"
"Jeremy Sprinkle","WAS","0.6","6.3","0.1","0.0","1.2"
"Derek Carrier","LV","0.7","6.2","0.1","0.0","1.2"
"Taysom Hill","NO","0.8","7.6","0.1","0.0","1.2"
"Devin Asiasi","NE","0.6","5.8","0.1","0.0","1.2"
"Jacob Hollister","SEA","0.6","5.9","0.1","0.0","1.2"
"Adam Trautman","NO","0.9","8.5","0.1","0.0","1.1"
"Blake Bell","DAL","0.9","9.7","0.0","0.0","1.1"
"Andrew Beck","DEN","0.4","4.3","0.1","0.0","1.0"
"Jake Butt","DEN","0.8","8.2","0.0","0.0","1.0"
"Stephen Carlson","CLE","0.3","4.0","0.1","0.0","1.0"
"Ross Dwelley","SF","1.0","7.9","0.0","0.0","0.8"
"Trevon Wesco","NYJ","0.7","7.2","0.0","0.0","0.7"
"J.P. Holtz","CHI","0.7","7.1","0.0","0.0","0.7"
"Jakob Johnson","NE","0.2","0.8","0.1","0.0","0.7"
"Charlie Woerner","SF","0.6","6.5","0.0","0.0","0.7"
"Daniel Helm","SF","0.6","6.5","0.0","0.0","0.7"
"Eric Tomlinson","NYG","0.6","4.7","0.0","0.0","0.5"
"Deon Yelder","KC","0.3","2.9","0.0","0.0","0.3"
""
""
