"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","7.6","93.5","0.8","0.0","0.0","0.0","0.0","14.0"
"DeAndre Hopkins","ARI","7.8","96.1","0.6","0.0","0.2","0.0","0.1","13.2"
"D.K. Metcalf","SEA","4.8","83.2","0.7","0.0","0.3","0.0","0.1","12.4"
"Calvin Ridley","ATL","5.8","80.7","0.7","0.4","2.4","0.0","0.0","12.4"
"Stefon Diggs","BUF","6.3","87.2","0.6","0.3","1.5","0.0","0.0","12.4"
"Kenny Golladay","DET","5.3","81.4","0.7","0.0","0.2","0.0","0.0","12.0"
"Tyreek Hill","KC","5.1","76.0","0.6","1.0","6.1","0.1","0.0","11.8"
"Julio Jones","ATL","5.9","85.0","0.5","0.1","0.3","0.0","0.0","11.6"
"Michael Thomas","NO","7.0","81.1","0.6","0.0","0.0","0.0","0.0","11.5"
"Terry McLaurin","WAS","5.6","80.8","0.5","0.1","0.6","0.0","0.0","11.2"
"Tyler Lockett","SEA","5.6","75.9","0.6","0.3","1.3","0.0","0.0","11.2"
"Will Fuller V","HOU","5.1","76.1","0.6","0.1","0.5","0.0","0.0","11.2"
"Chris Godwin","TB","5.4","74.5","0.6","0.0","0.2","0.0","0.0","10.9"
"Robby Anderson","CAR","5.6","78.2","0.5","0.2","1.1","0.0","0.1","10.8"
"Mike Evans","TB","4.7","69.8","0.6","0.0","0.0","0.0","0.0","10.7"
"A.J. Brown","TEN","4.3","70.6","0.5","0.1","1.6","0.0","0.0","10.5"
"Keenan Allen","LAC","6.2","73.0","0.5","0.2","1.1","0.0","0.0","10.4"
"Allen Robinson II","CHI","6.3","75.4","0.5","0.1","0.5","0.0","0.0","10.3"
"Odell Beckham Jr.","CLE","4.7","66.9","0.5","0.5","3.7","0.0","0.0","10.2"
"Amari Cooper","DAL","5.5","72.5","0.5","0.2","0.9","0.0","0.0","10.2"
"Robert Woods","LAR","5.4","68.1","0.4","1.3","7.7","0.1","0.0","10.2"
"Cooper Kupp","LAR","5.4","68.0","0.5","0.3","1.7","0.0","0.0","10.0"
"Tyler Boyd","CIN","5.8","70.1","0.4","0.3","2.0","0.0","0.1","9.8"
"Chase Claypool","PIT","4.4","60.2","0.5","1.0","5.4","0.1","0.0","9.7"
"Jamison Crowder","NYJ","5.9","67.5","0.5","0.1","0.6","0.0","0.1","9.6"
"Tee Higgins","CIN","4.6","64.4","0.5","0.2","1.6","0.0","0.0","9.5"
"D.J. Chark Jr.","JAC","5.1","62.5","0.5","0.0","0.3","0.0","0.0","9.2"
"CeeDee Lamb","DAL","4.8","61.9","0.4","0.4","2.5","0.0","0.0","9.1"
"Deebo Samuel","SF","4.4","56.6","0.4","1.0","7.4","0.1","0.0","9.0"
"D.J. Moore","CAR","5.4","75.8","0.2","0.3","2.6","0.0","0.1","9.0"
"Brandin Cooks","HOU","4.7","61.8","0.4","0.2","1.5","0.0","0.0","8.8"
"Travis Fulgham","PHI","4.5","59.6","0.5","0.1","0.5","0.0","0.0","8.7"
"Darius Slayton","NYG","4.0","61.1","0.4","0.2","0.7","0.0","0.0","8.4"
"Julian Edelman","NE","4.8","58.4","0.4","0.4","3.1","0.0","0.0","8.2"
"Mike Williams","LAC","3.6","58.7","0.4","0.1","0.5","0.0","0.0","8.1"
"John Brown","BUF","3.9","54.0","0.4","0.1","0.3","0.0","0.0","8.1"
"Christian Kirk","ARI","4.5","53.6","0.4","0.3","2.2","0.0","0.0","7.8"
"Tim Patrick","DEN","4.1","56.4","0.3","0.1","0.4","0.0","0.0","7.7"
"Diontae Johnson","PIT","4.2","50.4","0.4","0.2","1.6","0.0","0.1","7.3"
"Laviska Shenault Jr.","JAC","4.4","53.8","0.2","1.1","6.1","0.0","0.0","7.2"
"Jarvis Landry","CLE","4.6","59.4","0.2","0.1","0.5","0.0","0.0","7.2"
"Jerry Jeudy","DEN","4.2","56.7","0.2","0.1","0.6","0.0","0.0","6.7"
"JuJu Smith-Schuster","PIT","4.4","51.3","0.3","0.0","0.1","0.0","0.0","6.7"
"Michael Gallup","DAL","3.3","54.0","0.2","0.0","0.0","0.0","0.0","6.5"
"Marvin Jones Jr.","DET","3.5","48.3","0.3","0.0","0.1","0.0","0.0","6.5"
"A.J. Green","CIN","3.9","52.2","0.2","0.0","0.0","0.0","0.0","6.5"
"Marquez Valdes-Scantling","GB","3.7","52.9","0.2","0.1","0.7","0.0","0.0","6.4"
"Henry Ruggs III","LV","3.7","51.4","0.2","0.3","1.2","0.0","0.0","6.4"
"Cole Beasley","BUF","4.3","50.9","0.2","0.0","0.0","0.0","0.0","6.4"
"Emmanuel Sanders","NO","4.0","48.0","0.2","0.1","0.4","0.0","0.0","6.3"
"Keelan Cole","JAC","3.7","49.3","0.2","0.1","0.5","0.0","0.0","6.1"
"Brandon Aiyuk","SF","3.1","45.3","0.2","0.6","3.6","0.0","0.0","6.0"
"Hunter Renfrow","LV","3.8","47.7","0.2","0.0","0.0","0.0","0.0","5.8"
"Corey Davis","TEN","3.4","47.0","0.2","0.1","0.5","0.0","0.0","5.7"
"Breshad Perriman","NYJ","3.1","46.5","0.2","0.2","0.8","0.0","0.0","5.7"
"DeSean Jackson","PHI","3.0","44.4","0.2","0.2","1.1","0.0","0.0","5.5"
"Randall Cobb","HOU","3.5","43.6","0.2","0.1","0.3","0.0","0.0","5.4"
"N'Keal Harry","NE","3.7","39.9","0.2","0.4","2.8","0.0","0.1","5.3"
"Curtis Samuel","CAR","2.6","30.0","0.2","1.8","9.7","0.1","0.0","5.3"
"Golden Tate","NYG","3.9","44.3","0.1","0.1","0.5","0.0","0.0","5.2"
