Name,ID,TeamAbbrev
Steelers ,15260860,PIT
Bills ,15260861,BUF
Eagles ,15260862,PHI
49ers ,15260863,SF
Bears ,15260864,CHI
Patriots ,15260865,NE
Ravens ,15260866,BAL
Chiefs ,15260868,KC
Colts ,15260867,IND
Bengals ,15260869,CIN
Cowboys ,15260870,DAL
Chargers ,15260872,LAC
Titans ,15260871,TEN
Broncos ,15260873,DEN
Lions ,15260874,DET
Packers ,15260875,GB
Raiders ,15260876,LV
Vikings ,15260877,MIN
Panthers ,15260878,CAR
Saints ,15260880,NO
Seahawks ,15260881,SEA
Rams ,15260882,LAR
Giants ,15260879,NYG
Falcons ,15260883,ATL
Jaguars ,15260884,JAX
Buccaneers ,15260886,TB
Browns ,15260885,CLE
Jets ,15260887,NYJ
Cardinals ,15260888,ARI
Dolphins ,15260890,MIA
Texans ,15260889,HOU
WAS Football Team ,15260891,WAS
