"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Pittsburgh Steelers","","3.3","0.9","0.7","1.1","0.1","0.0","18.6","317.9","8.5"
"Los Angeles Rams","","2.8","1.0","0.6","1.1","0.2","0.0","18.7","302.4","8.3"
"Baltimore Ravens","","2.9","0.9","0.7","1.2","0.2","0.0","18.1","338.8","8.1"
"San Francisco 49ers","","2.5","1.1","0.6","1.1","0.2","0.0","19.4","314.1","8.0"
"Buffalo Bills","","3.2","0.7","0.6","0.9","0.1","0.0","21.9","337.0","6.8"
"Tampa Bay Buccaneers","","2.3","1.0","0.7","1.1","0.2","0.0","20.9","316.2","6.8"
"Dallas Cowboys","","2.7","0.9","0.7","1.0","0.2","0.0","20.7","322.0","6.8"
"New Orleans Saints","","2.6","0.9","0.7","1.0","0.1","0.0","21.1","355.2","6.6"
"Arizona Cardinals","","2.6","0.8","0.6","1.1","0.1","0.1","20.1","313.1","6.5"
"Indianapolis Colts","","2.3","1.0","0.5","0.8","0.2","0.0","22.6","337.5","6.5"
"Jacksonville Jaguars","","3.1","0.8","0.5","0.7","0.1","0.0","26.7","368.0","6.5"
"Kansas City Chiefs","","2.6","0.8","0.7","1.1","0.2","0.0","20.5","353.6","6.4"
"Tennessee Titans","","2.7","0.8","0.6","0.8","0.1","0.0","23.0","378.2","6.3"
"Seattle Seahawks","","2.4","0.9","0.7","1.0","0.1","0.0","22.8","356.6","6.3"
"Minnesota Vikings","","2.9","0.6","0.6","0.8","0.1","0.0","27.9","380.2","6.2"
"Carolina Panthers","","2.5","0.8","0.7","1.0","0.1","0.0","27.8","383.2","6.2"
"New York Jets","","2.5","0.9","0.6","0.8","0.1","0.0","25.3","353.1","6.1"
"Cleveland Browns","","2.1","0.9","0.6","1.1","0.2","0.1","23.8","355.9","6.1"
"Houston Texans","","2.6","0.7","0.6","0.9","0.1","0.0","22.2","358.2","6.1"
"Miami Dolphins","","2.5","0.9","0.5","0.8","0.1","0.0","27.9","400.8","6.1"
"New York Giants","","2.5","0.8","0.6","0.9","0.1","0.0","28.4","417.1","6.0"
"Philadelphia Eagles","","2.2","0.8","0.6","0.9","0.1","0.1","25.0","362.5","5.9"
"Atlanta Falcons","","2.3","0.8","0.5","0.9","0.1","0.0","24.5","371.1","5.9"
"Washington Football Team","","2.1","0.8","0.6","0.9","0.1","0.0","25.3","370.7","5.7"
"Chicago Bears","","2.0","0.7","0.6","0.8","0.1","0.1","22.3","340.9","5.6"
"Cincinnati Bengals","","2.3","0.7","0.5","0.6","0.1","0.0","28.9","384.4","5.4"
"Las Vegas Raiders","","1.8","0.6","0.5","0.7","0.1","0.0","30.6","409.3","4.7"
"Los Angeles Chargers","","1.7","0.6","0.4","0.5","0.1","0.0","26.5","375.8","4.5"
""
""
