"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Derrick Henry","TEN","RB1","21.9","102.5","1.0","1.7","14.8","0.1","0.1","17.8"
"Ezekiel Elliott","DAL","RB2","20.3","87.3","0.8","3.5","28.2","0.1","0.1","16.7"
"Kareem Hunt","CLE","RB3","16.8","75.1","0.7","3.2","26.9","0.2","0.1","15.2"
"Alexander Mattison","MIN","RB4","18.7","92.4","0.6","2.7","22.5","0.1","0.1","15.2"
"Aaron Jones","GB","RB5","14.3","63.5","0.8","3.7","30.0","0.2","0.1","14.9"
"Mike Davis","CAR","RB6","15.8","67.8","0.6","5.2","36.1","0.2","0.1","14.7"
"Clyde Edwards-Helaire","KC","RB7","14.8","68.9","0.6","3.6","30.8","0.2","0.1","14.3"
"James Robinson","JAC","RB8","16.1","70.9","0.6","3.2","27.6","0.1","0.1","14.2"
"Jonathan Taylor","IND","RB9","16.2","73.6","0.7","2.2","19.0","0.1","0.1","14.1"
"James Conner","PIT","RB10","15.2","65.5","0.7","3.2","25.4","0.1","0.1","14.0"
"Joe Mixon","CIN","RB11","18.4","74.9","0.5","3.3","25.6","0.1","0.1","13.6"
"Davante Adams","GB","WR1","0.0","0.0","0.0","7.2","91.2","0.8","0.0","13.6"
"Adam Thielen","MIN","WR2","0.5","2.3","0.0","6.3","84.8","0.8","0.1","13.5"
"Tyreek Hill","KC","WR3","1.2","7.2","0.1","5.5","83.6","0.7","0.0","13.4"
"Miles Sanders","PHI","RB12","14.0","66.0","0.5","3.5","32.8","0.1","0.1","13.3"
"DeAndre Hopkins","ARI","WR4","0.1","0.2","0.0","7.7","93.6","0.7","0.1","13.3"
"Raheem Mostert","SF","RB13","14.0","71.3","0.7","2.0","17.3","0.1","0.1","13.1"
"David Montgomery","CHI","RB14","16.6","67.9","0.6","2.7","20.7","0.1","0.1","13.1"
"Calvin Ridley","ATL","WR5","0.3","1.8","0.0","6.0","83.6","0.7","0.0","12.5"
"Todd Gurley II","ATL","RB15","14.8","63.8","0.7","2.3","16.6","0.1","0.1","12.4"
"Antonio Gibson","WAS","RB16","14.3","60.0","0.6","2.9","24.0","0.1","0.1","12.2"
"Stefon Diggs","BUF","WR6","0.3","2.1","0.0","6.1","86.5","0.6","0.1","12.2"
"Kenny Golladay","DET","WR7","0.0","0.2","0.0","5.4","79.1","0.7","0.0","12.0"
"Travis Kelce","KC","TE1","0.0","0.0","0.0","6.5","79.5","0.7","0.0","11.9"
"Ronald Jones II","TB","RB17","13.8","64.2","0.6","2.4","19.0","0.1","0.1","11.8"
"Kenyan Drake","ARI","RB18","14.5","63.8","0.6","1.7","13.0","0.1","0.1","11.7"
"Mike Evans","TB","WR8","0.0","0.0","0.0","5.3","75.8","0.7","0.0","11.5"
"David Johnson","HOU","RB19","15.1","60.9","0.4","2.9","25.9","0.1","0.1","11.2"
"Devin Singletary","BUF","RB20","12.1","60.7","0.4","2.7","21.6","0.1","0.1","11.2"
"Allen Robinson II","CHI","WR9","0.1","0.6","0.0","6.6","78.2","0.5","0.0","11.1"
"Terry McLaurin","WAS","WR10","0.2","0.8","0.0","5.3","79.7","0.5","0.0","10.9"
"Cooper Kupp","LAR","WR11","0.4","2.1","0.0","5.9","72.6","0.6","0.0","10.9"
"Devonta Freeman","NYG","RB21","13.7","54.6","0.5","2.6","20.7","0.1","0.1","10.9"
"A.J. Brown","TEN","WR12","0.2","2.3","0.0","4.5","72.4","0.5","0.0","10.7"
"Robby Anderson","CAR","WR13","0.2","1.0","0.0","5.9","78.1","0.5","0.1","10.7"
"Myles Gaskin","MIA","RB22","13.6","54.8","0.4","3.8","26.8","0.1","0.1","10.6"
"Robert Woods","LAR","WR14","1.1","7.0","0.1","5.7","71.2","0.4","0.0","10.5"
"Marquise Brown","BAL","WR15","0.5","2.9","0.0","4.7","67.5","0.6","0.0","10.5"
"Darius Slayton","NYG","WR16","0.0","0.0","0.0","4.6","69.0","0.6","0.0","10.5"
"Will Fuller V","HOU","WR17","0.1","0.6","0.0","5.0","70.8","0.6","0.0","10.4"
"Amari Cooper","DAL","WR18","0.2","1.0","0.0","5.8","73.4","0.5","0.0","10.4"
"Jamison Crowder","NYJ","WR19","0.1","0.7","0.0","5.9","72.5","0.5","0.1","10.4"
"Odell Beckham Jr.","CLE","WR20","0.5","3.6","0.0","4.8","68.3","0.5","0.0","10.3"
"Mark Andrews","BAL","TE2","0.0","0.0","0.0","4.6","59.4","0.7","0.0","10.3"
"DeVante Parker","MIA","WR21","0.0","0.0","0.0","5.0","70.6","0.5","0.0","10.2"
"JuJu Smith-Schuster","PIT","WR22","0.0","0.2","0.0","5.5","67.9","0.6","0.0","10.1"
"George Kittle","SF","TE3","0.0","0.0","0.0","5.9","70.8","0.5","0.0","10.1"
"Adrian Peterson","DET","RB23","14.9","63.3","0.5","1.0","8.1","0.0","0.1","10.0"
"Justin Jefferson","MIN","WR23","0.2","1.0","0.0","4.5","67.6","0.5","0.0","9.9"
"Tyler Boyd","CIN","WR24","0.2","1.2","0.0","6.2","72.3","0.4","0.1","9.9"
"Chris Godwin","TB","WR25","0.0","0.2","0.0","5.0","68.7","0.5","0.0","9.9"
"Chase Claypool","PIT","WR26","0.5","2.6","0.0","4.4","62.0","0.5","0.0","9.8"
"CeeDee Lamb","DAL","WR27","0.4","2.4","0.0","5.0","66.1","0.5","0.0","9.8"
