"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes II","KC","36.6","24.2","291.4","2.2","0.5","4.5","22.7","0.2","0.1","22.9"
"Kyler Murray","ARI","36.4","24.6","262.4","1.8","0.8","7.6","46.5","0.4","0.2","22.8"
"Lamar Jackson","BAL","28.4","18.8","220.9","1.8","0.5","9.2","55.4","0.3","0.2","21.9"
"Josh Allen","BUF","36.5","22.3","264.4","1.8","0.9","5.6","31.6","0.4","0.3","21.0"
"Deshaun Watson","HOU","34.7","22.8","272.2","1.8","0.9","4.5","26.2","0.2","0.1","19.7"
"Cam Newton","NE","32.3","20.5","227.9","1.5","0.7","9.2","40.2","0.4","0.1","19.7"
"Aaron Rodgers","GB","37.1","24.5","279.5","2.0","0.4","2.4","9.5","0.1","0.1","19.6"
"Matthew Stafford","DET","35.5","23.5","282.0","2.1","0.5","2.7","9.5","0.1","0.2","19.5"
"Ryan Fitzpatrick","MIA","35.3","23.0","268.1","1.8","1.0","4.2","19.9","0.2","0.1","19.2"
"Tom Brady","TB","36.8","23.7","279.7","2.0","0.5","1.7","2.8","0.1","0.1","18.9"
"Gardner Minshew II","JAC","36.9","23.3","270.0","1.9","0.7","4.1","20.5","0.1","0.3","18.8"
"Ryan Tannehill","TEN","29.7","20.0","248.0","2.0","0.7","3.7","16.8","0.1","0.2","18.6"
"Ben Roethlisberger","PIT","37.0","24.7","282.2","2.1","0.8","1.7","4.0","0.1","0.1","18.5"
"Kirk Cousins","MIN","31.7","21.5","260.3","2.1","0.8","2.0","6.7","0.1","0.2","17.9"
"Matt Ryan","ATL","37.9","24.8","292.1","1.8","0.8","1.5","5.6","0.0","0.2","17.7"
"Andy Dalton","DAL","36.8","23.1","272.0","1.7","0.9","2.1","8.0","0.1","0.2","17.3"
"Jared Goff","LAR","35.0","22.8","267.9","1.6","0.8","3.0","7.9","0.1","0.2","16.9"
"Daniel Jones","NYG","34.7","22.5","246.2","1.5","1.0","4.5","23.1","0.1","0.5","15.6"
"Teddy Bridgewater","CAR","36.2","24.3","260.2","1.3","0.8","3.1","10.3","0.1","0.1","15.3"
"Joe Burrow","CIN","36.4","23.7","249.5","1.3","0.8","3.4","16.6","0.1","0.3","15.2"
"Philip Rivers","IND","31.9","20.8","251.7","1.7","0.9","1.2","2.5","0.0","0.1","15.1"
"Nick Foles","CHI","34.7","22.5","244.0","1.7","0.9","1.8","3.6","0.1","0.2","15.0"
"Baker Mayfield","CLE","32.9","19.7","235.0","1.6","1.0","2.1","7.7","0.1","0.1","14.6"
"Carson Wentz","PHI","36.0","22.9","249.0","1.2","0.9","3.6","13.6","0.1","0.3","14.5"
"Jimmy Garoppolo","SF","29.8","19.7","227.9","1.5","0.9","1.5","3.6","0.1","0.2","13.6"
"Kyle Allen","WAS","32.0","20.7","232.9","1.1","1.0","2.2","10.4","0.1","0.3","13.2"
"Joe Flacco","NYJ","33.0","21.0","235.1","1.2","0.9","2.1","4.8","0.0","0.1","12.9"
"Drew Lock","DEN","33.5","21.0","228.3","1.1","0.9","2.0","7.8","0.0","0.3","12.4"
"C.J. Beathard","SF","13.9","8.3","69.7","0.4","0.5","0.4","0.9","0.0","0.2","2.9"
"Ben DiNucci","DAL","0.0","0.0","29.1","0.1","0.1","0.0","5.6","0.0","0.0","2.1"
"Jalen Hurts","PHI","11.2","6.9","52.5","0.0","0.2","1.5","3.1","0.0","0.1","2.1"
"Alex Smith","WAS","5.3","3.1","31.5","0.1","0.1","10.7","0.9","0.0","0.1","1.3"
"Mitchell Trubisky","CHI","3.7","2.2","24.2","0.1","0.1","0.6","1.6","0.0","0.0","1.1"
"David Blough","DET","1.4","0.9","11.3","0.1","0.0","0.3","1.1","0.0","0.0","1.0"
"Brett Hundley","ARI","1.5","1.0","10.3","0.1","0.0","0.3","1.2","0.0","0.0","0.9"
"Nick Mullens","SF","6.2","4.3","39.8","0.1","0.5","0.0","0.0","0.0","0.0","0.9"
"Brett Rypien","DEN","5.2","2.8","31.4","0.1","0.3","0.7","0.8","0.0","0.0","0.9"
"Matt Schaub","ATL","1.6","1.1","11.8","0.1","0.0","0.2","0.2","0.0","0.0","0.9"
"Mason Rudolph","PIT","1.5","1.1","14.4","0.1","0.1","0.2","0.6","0.0","0.0","0.9"
