"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Derrick Henry","TEN","21.9","102.5","1.0","1.7","14.8","0.1","0.1","17.8"
"Ezekiel Elliott","DAL","20.3","87.3","0.8","3.5","28.2","0.1","0.1","16.7"
"Kareem Hunt","CLE","16.8","75.1","0.7","3.2","26.9","0.2","0.1","15.2"
"Alexander Mattison","MIN","18.7","92.4","0.6","2.7","22.5","0.1","0.1","15.2"
"Aaron Jones","GB","14.3","63.5","0.8","3.7","30.0","0.2","0.1","14.9"
"Mike Davis","CAR","15.8","67.8","0.6","5.2","36.1","0.2","0.1","14.7"
"Clyde Edwards-Helaire","KC","14.8","68.9","0.6","3.6","30.8","0.2","0.1","14.3"
"James Robinson","JAC","16.1","70.9","0.6","3.2","27.6","0.1","0.1","14.2"
"Jonathan Taylor","IND","16.2","73.6","0.7","2.2","19.0","0.1","0.1","14.1"
"James Conner","PIT","15.2","65.5","0.7","3.2","25.4","0.1","0.1","14.0"
"Joe Mixon","CIN","18.4","74.9","0.5","3.3","25.6","0.1","0.1","13.6"
"Miles Sanders","PHI","14.0","66.0","0.5","3.5","32.8","0.1","0.1","13.3"
"Raheem Mostert","SF","14.0","71.3","0.7","2.0","17.3","0.1","0.1","13.1"
"David Montgomery","CHI","16.6","67.9","0.6","2.7","20.7","0.1","0.1","13.1"
"Todd Gurley II","ATL","14.8","63.8","0.7","2.3","16.6","0.1","0.1","12.4"
"Antonio Gibson","WAS","14.3","60.0","0.6","2.9","24.0","0.1","0.1","12.2"
"Ronald Jones II","TB","13.8","64.2","0.6","2.4","19.0","0.1","0.1","11.8"
"Kenyan Drake","ARI","14.5","63.8","0.6","1.7","13.0","0.1","0.1","11.7"
"David Johnson","HOU","15.1","60.9","0.4","2.9","25.9","0.1","0.1","11.2"
"Devin Singletary","BUF","12.1","60.7","0.4","2.7","21.6","0.1","0.1","11.2"
"Devonta Freeman","NYG","13.7","54.6","0.5","2.6","20.7","0.1","0.1","10.9"
"Myles Gaskin","MIA","13.6","54.8","0.4","3.8","26.8","0.1","0.1","10.6"
"Adrian Peterson","DET","14.9","63.3","0.5","1.0","8.1","0.0","0.1","10.0"
"Darrell Henderson","LAR","11.3","55.6","0.3","2.0","18.4","0.1","0.0","9.5"
"Phillip Lindsay","DEN","13.9","60.9","0.2","2.5","17.2","0.0","0.1","9.4"
"Damien Harris","NE","13.5","56.9","0.4","0.9","7.2","0.0","0.1","9.0"
"Mark Ingram II","BAL","10.7","48.3","0.3","1.3","9.6","0.1","0.1","8.0"
"Frank Gore","NYJ","12.2","47.8","0.2","1.2","8.4","0.0","0.0","6.7"
"Chase Edmonds","ARI","5.4","23.2","0.2","3.1","23.6","0.2","0.0","6.5"
"James White","NE","3.7","14.1","0.1","4.1","33.1","0.1","0.0","5.8"
"D'Andre Swift","DET","4.8","19.8","0.1","3.1","25.9","0.1","0.1","5.6"
"Leonard Fournette","TB","8.3","30.5","0.2","1.7","12.1","0.0","0.0","5.5"
"Rex Burkhead","NE","6.3","24.1","0.2","2.1","18.1","0.1","0.1","5.5"
"Jerick McKinnon","SF","6.5","25.3","0.1","2.6","19.3","0.1","0.1","5.5"
"Nyheim Hines","IND","4.7","19.0","0.1","3.1","23.6","0.1","0.0","5.3"
"J.D. McKissic","WAS","4.5","19.3","0.1","3.1","24.9","0.1","0.1","5.2"
"Jamaal Williams","GB","6.6","22.0","0.1","2.8","19.6","0.1","0.0","5.1"
"Cam Akers","LAR","8.3","32.3","0.1","1.1","7.1","0.0","0.1","4.9"
"J.K. Dobbins","BAL","4.9","21.1","0.1","2.1","16.9","0.1","0.1","4.8"
"Zack Moss","BUF","7.4","30.1","0.1","1.3","8.8","0.0","0.1","4.8"
"Gus Edwards","BAL","8.3","38.0","0.1","0.4","1.9","0.0","0.0","4.7"
"Duke Johnson Jr.","HOU","4.3","19.7","0.1","2.3","19.6","0.1","0.1","4.6"
"Malcolm Brown","LAR","6.8","27.8","0.1","1.1","8.2","0.0","0.0","4.6"
"Cordarrelle Patterson","CHI","5.1","24.3","0.1","1.3","11.9","0.1","0.0","4.5"
"Matt Breida","MIA","6.3","24.9","0.1","1.4","11.6","0.0","0.1","4.4"
"Royce Freeman","DEN","6.8","25.0","0.1","1.8","12.3","0.0","0.0","4.4"
"Brian Hill","ATL","5.9","26.8","0.1","1.4","10.2","0.0","0.1","4.4"
"Mike Boone","MIN","6.8","28.9","0.2","0.8","3.4","0.0","0.0","4.3"
"D'Ernest Johnson","CLE","7.0","27.6","0.1","1.0","7.0","0.0","0.1","4.2"
"Lamical Perine","NYJ","7.2","27.1","0.1","1.2","7.2","0.0","0.1","4.1"
"Tony Pollard","DAL","5.2","22.8","0.1","1.4","8.5","0.0","0.1","3.9"
"Devine Ozigbo","JAC","3.0","13.5","0.1","1.2","12.2","0.1","0.0","3.8"
"Ke'Shawn Vaughn","TB","4.7","17.5","0.1","1.9","12.8","0.1","0.1","3.8"
"Chris Thompson","JAC","2.6","10.3","0.0","2.5","21.5","0.1","0.0","3.7"
"Kerryon Johnson","DET","4.7","20.7","0.1","1.0","6.5","0.0","0.1","3.5"
"Benny Snell Jr.","PIT","5.3","23.0","0.1","0.6","2.8","0.0","0.1","3.1"
"Jeremy McNichols","TEN","4.5","16.1","0.1","1.1","7.4","0.0","0.0","3.1"
"Darrel Williams","KC","3.9","13.0","0.1","1.9","11.7","0.0","0.1","3.1"
"Jordan Howard","MIA","5.9","15.0","0.3","0.6","2.0","0.0","0.1","3.1"
"Wayne Gallman","NYG","4.8","19.4","0.1","1.1","6.1","0.0","0.1","3.0"
"Jordan Wilkins","IND","4.1","20.6","0.1","0.6","3.7","0.0","0.0","2.9"
"Dion Lewis","NYG","2.8","9.8","0.0","1.9","13.5","0.0","0.0","2.7"
"Anthony McFarland Jr.","PIT","3.7","14.3","0.1","0.9","6.5","0.0","0.0","2.6"
"Boston Scott","PHI","3.7","12.6","0.1","1.7","9.9","0.0","0.0","2.6"
"Giovani Bernard","CIN","2.3","8.2","0.0","1.9","14.4","0.0","0.0","2.5"
"Tevin Coleman","SF","3.9","14.1","0.1","0.5","4.0","0.0","0.0","2.4"
"Ito Smith","ATL","2.7","10.5","0.1","1.3","7.6","0.0","0.0","2.3"
"Kyle Juszczyk","SF","0.9","2.9","0.0","1.5","14.1","0.1","0.0","2.2"
"Trenton Cannon","CAR","2.7","9.3","0.1","0.9","6.1","0.0","0.0","2.1"
"Peyton Barber","WAS","3.9","12.5","0.1","0.5","2.4","0.0","0.0","2.0"
"Jeff Wilson Jr.","SF","3.2","12.7","0.1","0.6","3.5","0.0","0.1","2.0"
"Darwin Thompson","KC","5.8","14.0","0.0","2.2","4.3","0.0","0.1","1.9"
"Malcolm Perry","MIA","0.0","0.2","0.0","0.8","11.3","0.1","0.0","1.8"
"Lynn Bowden Jr.","MIA","1.8","7.5","0.0","0.8","5.4","0.0","0.0","1.7"
"Jeremy Cox","DEN","0.0","9.3","0.1","0.5","3.2","0.0","0.0","1.7"
"LeSean McCoy","TB","2.1","5.8","0.0","1.1","7.1","0.0","0.0","1.7"
"Dontrell Hilliard","CLE","2.4","7.3","0.1","1.0","6.1","0.0","0.0","1.6"
"T.J. Yeldon","BUF","1.8","8.6","0.0","0.8","5.1","0.0","0.0","1.6"
"Salvon Ahmed","MIA","0.0","8.7","0.1","0.4","2.8","0.0","0.0","1.6"
"Ty Johnson","NYJ","2.3","9.1","0.0","0.9","4.2","0.0","0.0","1.5"
"Ameer Abdullah","MIN","1.8","6.9","0.0","0.7","5.2","0.0","0.0","1.5"
"Eno Benjamin","ARI","2.1","8.2","0.1","0.6","2.8","0.0","0.0","1.5"
"JaMycal Hasty","SF","2.7","8.7","0.1","0.5","2.5","0.0","0.0","1.4"
"J.J. Taylor","NE","2.2","8.6","0.0","0.4","1.8","0.0","0.0","1.3"
"Corey Clement","PHI","2.1","6.6","0.0","0.8","4.7","0.0","0.0","1.3"
"Qadree Ollison","ATL","2.0","6.0","0.1","0.4","1.3","0.0","0.0","1.3"
"Jaylen Samuels","PIT","2.7","5.7","0.0","1.1","6.5","0.0","0.0","1.3"
"Artavis Pierce","CHI","1.7","6.2","0.1","0.4","2.1","0.0","0.0","1.3"
"Ryan Nall","CHI","2.8","7.2","0.0","0.7","3.1","0.0","0.0","1.2"
