"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","6.5","79.5","0.7","0.0","11.9"
"Mark Andrews","BAL","4.6","59.4","0.7","0.0","10.3"
"George Kittle","SF","5.9","70.8","0.5","0.0","10.1"
"Jonnu Smith","TEN","4.1","49.8","0.7","0.0","9.1"
"Mike Gesicki","MIA","3.8","46.4","0.4","0.0","7.0"
"Robert Tonyan","GB","3.2","39.0","0.5","0.0","6.8"
"T.J. Hockenson","DET","3.8","43.7","0.4","0.0","6.5"
"Zach Ertz","PHI","5.2","53.0","0.2","0.0","6.5"
"Evan Engram","NYG","4.5","48.2","0.2","0.0","6.2"
"Eric Ebron","PIT","4.1","46.5","0.3","0.0","6.1"
"Tyler Higbee","LAR","3.7","40.8","0.2","0.0","5.4"
"Austin Hooper","CLE","3.9","40.9","0.2","0.0","5.3"
"Hayden Hurst","ATL","3.5","40.7","0.2","0.0","5.3"
"Jimmy Graham","CHI","3.6","37.4","0.2","0.0","5.1"
"Rob Gronkowski","TB","2.8","37.1","0.2","0.0","4.8"
"Dalton Schultz","DAL","3.1","35.6","0.2","0.1","4.5"
"Trey Burton","IND","3.2","31.7","0.2","0.0","4.1"
"Tyler Eifert","JAC","2.7","29.6","0.2","0.0","4.1"
"Darren Fells","HOU","2.5","26.5","0.2","0.0","3.8"
"Logan Thomas","WAS","3.1","30.1","0.1","0.0","3.8"
"Irv Smith Jr.","MIN","2.8","29.5","0.1","0.0","3.7"
"Kyle Rudolph","MIN","2.1","22.3","0.2","0.0","3.4"
"Drew Sample","CIN","2.7","26.0","0.1","0.0","3.1"
"Anthony Firkser","TEN","1.9","22.5","0.1","0.0","3.1"
"Cameron Brate","TB","2.0","19.8","0.2","0.0","3.1"
"Chris Herndon IV","NYJ","2.3","24.3","0.1","0.0","3.0"
"Dan Arnold","ARI","2.0","23.2","0.1","0.0","2.9"
"Jack Doyle","IND","2.2","22.9","0.1","0.0","2.9"
"Ian Thomas","CAR","2.3","20.1","0.1","0.0","2.7"
"Gerald Everett","LAR","1.9","21.3","0.1","0.0","2.6"
"Tyler Kroft","BUF","1.8","17.3","0.1","0.0","2.6"
"Ryan Izzo","NE","1.6","17.9","0.1","0.0","2.4"
"James O'Shaughnessy","JAC","1.7","17.7","0.1","0.0","2.3"
"Vance McDonald","PIT","1.7","16.8","0.1","0.0","2.3"
"Jesse James","DET","1.4","16.1","0.1","0.0","2.3"
"Jake Butt","DEN","1.6","17.0","0.1","0.0","2.3"
"Ryan Griffin","NYJ","1.6","15.7","0.1","0.0","2.1"
"Nick Vannett","DEN","1.7","16.7","0.1","0.0","2.1"
"Tanner Hudson","TB","1.6","17.9","0.1","0.0","2.1"
"David Njoku","CLE","1.3","15.1","0.1","0.0","2.0"
"Harrison Bryant","CLE","1.3","13.6","0.1","0.0","1.9"
"Richard Rodgers","PHI","1.4","14.6","0.1","0.0","1.8"
"Nick Boyle","BAL","1.5","13.5","0.1","0.0","1.8"
"Demetrius Harris","CHI","1.3","11.9","0.1","0.0","1.8"
"Kaden Smith","NYG","1.3","12.2","0.1","0.0","1.7"
"Levine Toilolo","NYG","1.1","13.7","0.1","0.0","1.7"
"Adam Shaheen","MIA","1.0","9.6","0.1","0.0","1.6"
"Maxx Williams","ARI","0.9","9.3","0.1","0.0","1.5"
"Lee Smith","BUF","1.2","9.2","0.1","0.0","1.5"
"Pharaoh Brown","HOU","1.1","12.1","0.0","0.0","1.5"
"Marcedes Lewis","GB","0.9","9.0","0.1","0.0","1.5"
"Hunter Bryant","DET","0.7","8.2","0.1","0.0","1.4"
"Jace Sternberger","GB","1.0","11.0","0.1","0.0","1.4"
"Darrell Daniels","ARI","0.9","10.3","0.1","0.0","1.4"
"Chris Manhertz","CAR","1.0","11.0","0.1","0.0","1.4"
"Brycen Hopkins","LAR","0.7","7.8","0.1","0.0","1.4"
"Kahale Warring","HOU","0.7","7.6","0.1","0.0","1.4"
"Jeremy Sprinkle","WAS","1.0","9.4","0.1","0.0","1.4"
"Farrod Green","IND","0.6","7.0","0.1","0.0","1.3"
"Evan Baylis","ARI","0.7","6.9","0.1","0.0","1.3"
"Antony Auclair","TB","0.7","6.6","0.1","0.0","1.3"
"Cole Kmet","CHI","0.9","9.5","0.1","0.0","1.3"
"Jaeden Graham","ATL","0.8","9.6","0.1","0.0","1.2"
"Albert Okwuegbunam","DEN","1.0","11.3","0.0","0.0","1.2"
"Devin Asiasi","NE","0.9","9.4","0.1","0.0","1.2"
"Reggie Gilliam","BUF","0.8","7.3","0.1","0.0","1.2"
"Blake Bell","DAL","0.9","9.7","0.0","0.0","1.2"
"MyCole Pruitt","TEN","0.9","9.5","0.0","0.0","1.1"
"Noah Togiai","IND","0.7","7.6","0.1","0.0","1.0"
"Jordan Thomas","ARI","0.4","3.9","0.1","0.0","1.0"
"Trevon Wesco","NYJ","0.7","7.6","0.0","0.0","0.9"
"Luke Stocker","ATL","0.8","6.3","0.0","0.0","0.9"
"Tyler Conklin","MIN","0.5","6.2","0.0","0.0","0.8"
"Andrew Beck","DEN","0.5","5.2","0.1","0.0","0.8"
"Cethan Carter","CIN","0.7","7.6","0.0","0.0","0.8"
"Ricky Seals-Jones","KC","0.4","4.7","0.1","0.0","0.8"
"Ross Dwelley","SF","0.8","6.8","0.0","0.0","0.8"
"Durham Smythe","MIA","0.7","6.5","0.0","0.0","0.7"
"Geoff Swaim","TEN","0.5","5.6","0.0","0.0","0.7"
"Zach Gentry","PIT","0.4","3.9","0.1","0.0","0.7"
"Mason Schreck","CIN","0.6","7.1","0.0","0.0","0.7"
"Jason Croom","PHI","0.7","7.0","0.0","0.0","0.7"
"Temarrick Hemingway","WAS","0.6","6.9","0.0","0.0","0.7"
"J.P. Holtz","CHI","0.7","6.9","0.0","0.0","0.7"
"Jakob Johnson","NE","0.2","0.8","0.1","0.0","0.7"
"Marcus Baugh","WAS","0.6","6.6","0.0","0.0","0.7"
"Charlie Woerner","SF","0.6","6.4","0.0","0.0","0.6"
