"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","7.2","91.2","0.8","0.0","0.0","0.0","0.0","13.6"
"Adam Thielen","MIN","6.3","84.8","0.8","0.5","2.3","0.0","0.1","13.5"
"Tyreek Hill","KC","5.5","83.6","0.7","1.2","7.2","0.1","0.0","13.4"
"DeAndre Hopkins","ARI","7.7","93.6","0.7","0.1","0.2","0.0","0.1","13.3"
"Calvin Ridley","ATL","6.0","83.6","0.7","0.3","1.8","0.0","0.0","12.5"
"Stefon Diggs","BUF","6.1","86.5","0.6","0.3","2.1","0.0","0.1","12.2"
"Kenny Golladay","DET","5.4","79.1","0.7","0.0","0.2","0.0","0.0","12.0"
"Mike Evans","TB","5.3","75.8","0.7","0.0","0.0","0.0","0.0","11.5"
"Allen Robinson II","CHI","6.6","78.2","0.5","0.1","0.6","0.0","0.0","11.1"
"Terry McLaurin","WAS","5.3","79.7","0.5","0.2","0.8","0.0","0.0","10.9"
"Cooper Kupp","LAR","5.9","72.6","0.6","0.4","2.1","0.0","0.0","10.9"
"A.J. Brown","TEN","4.5","72.4","0.5","0.2","2.3","0.0","0.0","10.7"
"Robby Anderson","CAR","5.9","78.1","0.5","0.2","1.0","0.0","0.1","10.7"
"Robert Woods","LAR","5.7","71.2","0.4","1.1","7.0","0.1","0.0","10.5"
"Marquise Brown","BAL","4.7","67.5","0.6","0.5","2.9","0.0","0.0","10.5"
"Darius Slayton","NYG","4.6","69.0","0.6","0.0","0.0","0.0","0.0","10.5"
"Will Fuller V","HOU","5.0","70.8","0.6","0.1","0.6","0.0","0.0","10.4"
"Amari Cooper","DAL","5.8","73.4","0.5","0.2","1.0","0.0","0.0","10.4"
"Jamison Crowder","NYJ","5.9","72.5","0.5","0.1","0.7","0.0","0.1","10.4"
"Odell Beckham Jr.","CLE","4.8","68.3","0.5","0.5","3.6","0.0","0.0","10.3"
"DeVante Parker","MIA","5.0","70.6","0.5","0.0","0.0","0.0","0.0","10.2"
"JuJu Smith-Schuster","PIT","5.5","67.9","0.6","0.0","0.2","0.0","0.0","10.1"
"Justin Jefferson","MIN","4.5","67.6","0.5","0.2","1.0","0.0","0.0","9.9"
"Tyler Boyd","CIN","6.2","72.3","0.4","0.2","1.2","0.0","0.1","9.9"
"Chris Godwin","TB","5.0","68.7","0.5","0.0","0.2","0.0","0.0","9.9"
"Chase Claypool","PIT","4.4","62.0","0.5","0.5","2.6","0.0","0.0","9.8"
"CeeDee Lamb","DAL","5.0","66.1","0.5","0.4","2.4","0.0","0.0","9.8"
"Julio Jones","ATL","5.2","72.3","0.4","0.1","0.3","0.0","0.0","9.7"
"Julian Edelman","NE","5.1","62.7","0.4","0.6","3.9","0.0","0.0","9.0"
"T.Y. Hilton","IND","4.5","63.8","0.4","0.0","0.0","0.0","0.0","8.9"
"D.J. Moore","CAR","5.2","71.6","0.2","0.4","3.2","0.0","0.1","8.6"
"Brandin Cooks","HOU","4.6","61.6","0.4","0.2","1.5","0.0","0.0","8.6"
"Jerry Jeudy","DEN","4.5","62.7","0.4","0.1","0.7","0.0","0.0","8.5"
"Deebo Samuel","SF","4.3","51.4","0.3","0.9","8.1","0.1","0.0","8.5"
"Laviska Shenault Jr.","JAC","4.4","58.4","0.3","1.1","7.2","0.0","0.0","8.4"
"John Brown","BUF","4.0","55.7","0.4","0.1","0.4","0.0","0.0","8.3"
"D.J. Chark Jr.","JAC","3.9","53.0","0.4","0.0","0.3","0.0","0.0","7.9"
"Marvin Jones Jr.","DET","3.7","50.7","0.5","0.0","0.1","0.0","0.0","7.9"
"Tee Higgins","CIN","4.4","59.5","0.3","0.2","1.1","0.0","0.0","7.5"
"Jarvis Landry","CLE","4.9","61.2","0.2","0.1","0.6","0.0","0.0","7.4"
"Michael Gallup","DAL","3.4","56.2","0.2","0.0","0.0","0.0","0.0","6.8"
