,Player,OurProjection,CALCAVGPPDOFFYdsPass1,YdsPass1,Diff
0,Josh AllenQB15260861,206.1094666,295.0909091,238,-88.98144254
1,Matt RyanQB15260883,224.1095581,290.25,224,-66.14044189
2,Teddy BridgewaterQB15260878,191.2537689,255.2,283,-63.94623108
3,Ryan TannehillQB15260871,189.1043091,252.9166667,212,-63.81235758
4,Matthew StaffordQB15260874,246.5213013,263.4166667,244,-16.8953654
5,Tom BradyQB15260886,247.4494324,264.25,196,-16.80056763
6,Patrick MahomesQB15260868,305.2402649,308.4166667,393,-3.176401774
7,Kyler MurrayQB15260888,254.0920715,257.1666667,244,-3.074595133
8,Drew LockQB15260873,216.3637695,218.8,280,-2.436230469
9,Derek CarrQB15260876,256.8980713,257.25,316,-0.351928711
10,Ben RoethlisbergerQB15260860,264.0181274,258.8333333,187,5.184794108
11,Russell WilsonQB15260881,293.3697815,287.1666667,206,6.203114827
12,Jared GoffQB15260882,304.0777893,295.8333333,137,8.244455973
13,Deshaun WatsonQB15260889,316.5256348,297.3333333,219,19.19230143
14,Philip RiversQB15260867,292.0136414,271.3333333,244,20.68030802
15,Gardner Minshew IIQB15260884,285.9862366,265,178,20.98623657
16,Aaron RodgersQB15260875,312.9406433,291.25,290,21.69064331
17,Kirk CousinsQB15260877,291.1424561,256.6666667,225,34.47578939
18,Sam DarnoldQB15260887,217.4683838,175.8571429,132,41.61124093
19,Daniel JonesQB15260879,261.4648132,212.2,127,49.26481323
20,Mitchell TrubiskyQB15260864,238.5943604,165.4,267,73.19436035
21,Taysom HillQB15260880,242.219986,65.33333333,291,176.8866526
