,,Week,Year,GID,Name,Pos,Team,h/a,Oppt,DK points,DK salary,OffenseUID,TmOFNS,CALCAVGPTDOFFPlaysOFNS,CALCAVGPTDOFFToGoOFNS,CALCAVGPTDOFFYdsOFNS,CALCAVGPTDOFF1st%OFNS,CALCAVGPTDOFFTO%OFNS,CALCAVGPTDOFFTDOFNS,CALCAVGPTDOFFFGOFNS,CALCAVGPTDOFFnanOFNS,CALCAVGPTDOFFIntOFNS,CALCAVGPTDOFFFmbOFNS,CALCAVGPTDOFFSkOFNS,CALCAVGPTDOFFPassOFNS,CALCAVGPTDOFFRushOFNS,CALCAVGPTDOFFFGOFNS1,CALCAVGPTDOFFPuntOFNS,CALCAVGPTDOFFGDFNS,CALCAVGPTDOFFPlaysDFNS,CALCAVGPTDOFFToGoDFNS,CALCAVGPTDOFFYdsDFNS,CALCAVGPTDOFF1st%DFNS,CALCAVGPTDOFFTO%DFNS,CALCAVGPTDOFFTDDFNS,CALCAVGPTDOFFFGDFNS,CALCAVGPTDOFFnanDFNS,CALCAVGPTDOFFIntDFNS,CALCAVGPTDOFFFmbDFNS,CALCAVGPTDOFFSkDFNS,CALCAVGPTDOFFPassDFNS,CALCAVGPTDOFFRushDFNS,CALCAVGPTDOFFFGDFNS1,CALCAVGPTDOFFPuntDFNS,CALCAVGPTDOFFRkALLSCR,CALCAVGPTDOFFTDALLSCR,CALCAVGPTDOFFXPAALLSCR,CALCAVGPTDOFFXPMALLSCR,CALCAVGPTDOFFFGAALLSCR,CALCAVGPTDOFFFGMALLSCR,CALCAVGPTDOFF2PAALLSCR,CALCAVGPTDOFF2PMALLSCR,CALCAVGPTDOFFSftyALLSCR,CALCAVGPTDOFFRkDSTSCR,CALCAVGPTDOFFKRDSTSCR,CALCAVGPTDOFFPRDSTSCR,CALCAVGPTDOFFIRDSTSCR,CALCAVGPTDOFFFRDSTSCR,CALCAVGPTDOFFORDSTSCR,CALCAVGPTDOFFRetTDDSTSCR,CALCAVGPTDOFFPtsFor,CALCAVGPTDOFFPtsAgainst,DefenseUID,Opponent,CALCAVGPTDOPPPlaysOFNS,CALCAVGPTDOPPToGoOFNS,CALCAVGPTDOPPYdsOFNS,CALCAVGPTDOPP1st%OFNS,CALCAVGPTDOPPTO%OFNS,CALCAVGPTDOPPTDOFNS,CALCAVGPTDOPPFGOFNS,CALCAVGPTDOPPnanOFNS,CALCAVGPTDOPPIntOFNS,CALCAVGPTDOPPFmbOFNS,CALCAVGPTDOPPSkOFNS,CALCAVGPTDOPPPassOFNS,CALCAVGPTDOPPRushOFNS,CALCAVGPTDOPPFGOFNS1,CALCAVGPTDOPPPuntOFNS,CALCAVGPTDOPPGDFNS,CALCAVGPTDOPPPlaysDFNS,CALCAVGPTDOPPToGoDFNS,CALCAVGPTDOPPYdsDFNS,CALCAVGPTDOPP1st%DFNS,CALCAVGPTDOPPTO%DFNS,CALCAVGPTDOPPTDDFNS,CALCAVGPTDOPPFGDFNS,CALCAVGPTDOPPnanDFNS,CALCAVGPTDOPPIntDFNS,CALCAVGPTDOPPFmbDFNS,CALCAVGPTDOPPSkDFNS,CALCAVGPTDOPPPassDFNS,CALCAVGPTDOPPRushDFNS,CALCAVGPTDOPPFGDFNS1,CALCAVGPTDOPPPuntDFNS,CALCAVGPTDOPPRkALLSCR,CALCAVGPTDOPPTDALLSCR,CALCAVGPTDOPPXPAALLSCR,CALCAVGPTDOPPXPMALLSCR,CALCAVGPTDOPPFGAALLSCR,CALCAVGPTDOPPFGMALLSCR,CALCAVGPTDOPP2PAALLSCR,CALCAVGPTDOPP2PMALLSCR,CALCAVGPTDOPPSftyALLSCR,CALCAVGPTDOPPRkDSTSCR,CALCAVGPTDOPPKRDSTSCR,CALCAVGPTDOPPPRDSTSCR,CALCAVGPTDOPPIRDSTSCR,CALCAVGPTDOPPFRDSTSCR,CALCAVGPTDOPPORDSTSCR,CALCAVGPTDOPPRetTDDSTSCR,CALCAVGPTDOPPPtsFor,CALCAVGPTDOPPPtsAgainst
0,402,2,2020,7003,Baltimore,Def,bal,a,hou,15,3600,10007,BAL,69.0,8.3,5.5,0.333,0.014,5.0,1.0,23.0,0.0,1.0,2.0,28.0,30.0,1.0,3.0,1.0,80.0,9.0,3.9,0.213,0.038,1.0,0.0,17.0,1.0,2.0,2.0,41.0,26.0,1.0,4.0,2.0,5.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,6.0,10031,HOU,80.0,6.3,4.6,0.313,0.0,4.0,2.0,25.0,0.0,0.0,1.0,33.0,34.0,2.0,3.0,1.0,71.0,7.0,5.1,0.296,0.014,3.0,0.0,21.0,1.0,0.0,4.0,36.0,22.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,20.0
1,403,2,2020,7013,Indianapolis,Def,ind,h,min,15,2500,10009,IND,80.0,7.4,5.6,0.275,0.025,2.0,2.0,22.0,2.0,0.0,1.0,47.0,22.0,3.0,0.0,1.0,60.0,8.0,4.0,0.25,0.0,3.0,2.0,15.0,0.0,0.0,4.0,24.0,23.0,2.0,3.0,19.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,27.0,10018,MIN,90.0,6.7,5.8,0.311,0.0,5.0,2.0,28.0,0.0,0.0,0.0,44.0,32.0,2.0,1.0,1.0,64.0,6.5,6.0,0.359,0.016,4.0,1.0,23.0,1.0,0.0,2.0,27.0,22.0,1.0,2.0,1.0,5.0,5.0,5.0,2.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,34.0
2,404,2,2020,7029,Tampa Bay,Def,tam,h,car,14,2900,10026,TAM,82.0,7.9,3.8,0.22,0.037,3.0,1.0,18.0,2.0,1.0,3.0,39.0,26.0,2.0,5.0,1.0,83.0,6.9,3.3,0.181,0.0,3.0,2.0,15.0,0.0,0.0,1.0,32.0,34.0,2.0,6.0,17.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,34.0,10019,CAR,76.0,6.7,4.9,0.276,0.0,4.0,2.0,21.0,0.0,0.0,0.0,30.0,31.0,2.0,3.0,1.0,80.0,7.1,4.9,0.263,0.0,3.0,3.0,21.0,0.0,0.0,1.0,35.0,30.0,3.0,2.0,7.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,30.0
3,405,2,2020,7024,Pittsburgh,Def,pit,h,den,13,3800,10001,PIT,77.0,8.2,4.5,0.247,0.0,3.0,2.0,19.0,0.0,0.0,2.0,34.0,30.0,2.0,4.0,1.0,78.0,8.2,3.7,0.231,0.038,2.0,1.0,18.0,2.0,1.0,3.0,44.0,20.0,1.0,5.0,16.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,10014,DEN,91.0,6.9,4.1,0.253,0.0,2.0,1.0,23.0,0.0,0.0,1.0,44.0,34.0,4.0,4.0,1.0,70.0,7.1,4.6,0.271,0.014,2.0,0.0,19.0,0.0,1.0,0.0,33.0,26.0,0.0,5.0,25.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0
4,406,2,2020,7006,Chicago,Def,chi,h,nyg,12,3700,10005,CHI,81.0,7.5,4.5,0.284,0.0,3.0,2.0,23.0,0.0,0.0,1.0,37.0,28.0,2.0,5.0,1.0,88.0,7.6,4.8,0.239,0.011,2.0,3.0,21.0,1.0,0.0,1.0,43.0,29.0,4.0,4.0,11.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,10023,NYG,77.0,8.2,4.5,0.247,0.0,3.0,2.0,19.0,0.0,0.0,2.0,34.0,30.0,2.0,4.0,1.0,78.0,8.2,3.7,0.231,0.038,2.0,1.0,18.0,2.0,1.0,3.0,44.0,20.0,1.0,5.0,16.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0
5,407,2,2020,7012,Green Bay,Def,gnb,h,det,12,3300,10016,GNB,90.0,6.7,5.8,0.311,0.0,5.0,2.0,28.0,0.0,0.0,0.0,44.0,32.0,2.0,1.0,1.0,64.0,6.5,6.0,0.359,0.016,4.0,1.0,23.0,1.0,0.0,2.0,27.0,22.0,1.0,2.0,1.0,5.0,5.0,5.0,2.0,2.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,34.0,10015,DET,81.0,7.5,4.5,0.284,0.0,3.0,2.0,23.0,0.0,0.0,1.0,37.0,28.0,2.0,5.0,1.0,88.0,7.6,4.8,0.239,0.011,2.0,3.0,21.0,1.0,0.0,1.0,43.0,29.0,4.0,4.0,11.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0
6,408,2,2020,7001,Arizona,Def,ari,h,was,9,3000,10029,ARI,93.0,8.6,4.3,0.28,0.011,3.0,1.0,26.0,1.0,0.0,2.0,42.0,36.0,3.0,4.0,1.0,74.0,7.3,4.9,0.23,0.0,2.0,2.0,17.0,0.0,0.0,3.0,36.0,25.0,2.0,5.0,12.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20.0,10032,WAS,82.0,8.9,3.2,0.22,0.037,2.0,1.0,18.0,2.0,1.0,8.0,50.0,17.0,2.0,5.0,1.0,87.0,7.4,2.7,0.184,0.0,3.0,2.0,16.0,0.0,0.0,3.0,34.0,36.0,3.0,7.0,26.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,27.0
7,409,2,2020,7020,New York G,Def,nyg,a,chi,9,2400,10023,NYG,78.0,8.2,3.7,0.231,0.038,2.0,1.0,18.0,2.0,1.0,3.0,44.0,20.0,1.0,5.0,1.0,77.0,8.2,4.5,0.247,0.0,3.0,2.0,19.0,0.0,0.0,2.0,34.0,30.0,2.0,4.0,23.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.0,10005,CHI,88.0,7.6,4.8,0.239,0.011,2.0,3.0,21.0,1.0,0.0,1.0,43.0,29.0,4.0,4.0,1.0,81.0,7.5,4.5,0.284,0.0,3.0,2.0,23.0,0.0,0.0,1.0,37.0,28.0,2.0,5.0,22.0,2.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,27.0
8,410,2,2020,7025,LA Rams,Def,lar,a,phi,7,2800,10022,LAR,84.0,6.8,5.0,0.274,0.012,2.0,2.0,23.0,1.0,0.0,1.0,32.0,40.0,3.0,3.0,1.0,82.0,7.8,4.6,0.28,0.0,2.0,1.0,23.0,0.0,0.0,3.0,42.0,27.0,2.0,4.0,27.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,10003,PHI,87.0,7.4,2.7,0.184,0.0,3.0,2.0,16.0,0.0,0.0,3.0,34.0,36.0,3.0,7.0,1.0,82.0,8.9,3.2,0.22,0.037,2.0,1.0,18.0,2.0,1.0,8.0,50.0,17.0,2.0,5.0,18.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,17.0
9,411,2,2020,7018,New England,Def,nwe,a,sea,6,2900,10006,NWE,74.0,7.4,4.8,0.351,0.014,3.0,0.0,26.0,0.0,1.0,2.0,21.0,42.0,1.0,4.0,1.0,67.0,7.2,4.0,0.254,0.045,1.0,1.0,17.0,3.0,0.0,1.0,31.0,27.0,1.0,3.0,15.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,10021,SEA,91.0,7.4,5.5,0.297,0.022,3.0,2.0,27.0,1.0,1.0,2.0,56.0,20.0,2.0,3.0,1.0,73.0,7.4,5.2,0.288,0.0,5.0,1.0,21.0,0.0,0.0,3.0,38.0,20.0,1.0,4.0,8.0,3.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,38.0
